"year" "month" "day" "downscaled.tmin.degC"
1950 1 1 8.04
1950 1 2 5.85
1950 1 3 4.28
1950 1 4 5.97
1950 1 5 2.59
1950 1 6 -1.98
1950 1 7 -5.13
1950 1 8 -4.28
1950 1 9 -0.15
1950 1 10 -0.96
1950 1 11 -2.2
1950 1 12 -2.32
1950 1 13 -1.19
1950 1 14 0.75
1950 1 15 3.81
1950 1 16 2.05
1950 1 17 1.16
1950 1 18 4.47
1950 1 19 1.72
1950 1 20 -2.89
1950 1 21 -6.33
1950 1 22 0.59
1950 1 23 0.45
1950 1 24 4.46
1950 1 25 3.79
1950 1 26 -2.11
1950 1 27 -1.52
1950 1 28 6.3
1950 1 29 1.85
1950 1 30 1.61
1950 1 31 0.93
1950 2 1 -6.27
1950 2 2 -3.45
1950 2 3 -8.86
1950 2 4 -3.08
1950 2 5 0.72
1950 2 6 0.71
1950 2 7 -2.08
1950 2 8 1.22
1950 2 9 -4.48
1950 2 10 0.19
1950 2 11 -1.46
1950 2 12 -8.49
1950 2 13 -11.14
1950 2 14 -5.89
1950 2 15 -5.92
1950 2 16 1.63
1950 2 17 -3.83
1950 2 18 1.78
1950 2 19 3.06
1950 2 20 3.63
1950 2 21 3.65
1950 2 22 6.32
1950 2 23 6.99
1950 2 24 8.9
1950 2 25 5.28
1950 2 26 1.56
1950 2 27 4.85
1950 2 28 12.32
1950 3 1 8.51
1950 3 2 -1.33
1950 3 3 3.47
1950 3 4 8.04
1950 3 5 -3.35
1950 3 6 -4.5
1950 3 7 -3.82
1950 3 8 1.06
1950 3 9 10.39
1950 3 10 5.26
1950 3 11 1.54
1950 3 12 0.46
1950 3 13 -0.86
1950 3 14 -1.68
1950 3 15 3.19
1950 3 16 0.61
1950 3 17 -1.29
1950 3 18 2
1950 3 19 7.06
1950 3 20 6.98
1950 3 21 2.22
1950 3 22 4.98
1950 3 23 -1.02
1950 3 24 -0.01
1950 3 25 5.58
1950 3 26 10.57
1950 3 27 1.73
1950 3 28 2.49
1950 3 29 1.36
1950 3 30 5.05
1950 3 31 6.6
1950 4 1 1.9
1950 4 2 -0.55
1950 4 3 -1.03
1950 4 4 4.7
1950 4 5 5.85
1950 4 6 7.71
1950 4 7 2.73
1950 4 8 5.94
1950 4 9 11.29
1950 4 10 10.64
1950 4 11 9.92
1950 4 12 8.98
1950 4 13 5.01
1950 4 14 4.31
1950 4 15 3.76
1950 4 16 11.21
1950 4 17 11.75
1950 4 18 7.63
1950 4 19 6.85
1950 4 20 8.26
1950 4 21 6.94
1950 4 22 5.62
1950 4 23 7.71
1950 4 24 7.55
1950 4 25 10.64
1950 4 26 8.07
1950 4 27 9.78
1950 4 28 6.46
1950 4 29 5.18
1950 4 30 6.91
1950 5 1 8.29
1950 5 2 4.91
1950 5 3 8.64
1950 5 4 11.84
1950 5 5 11.16
1950 5 6 12.35
1950 5 7 10.77
1950 5 8 12.28
1950 5 9 12.26
1950 5 10 14.9
1950 5 11 12.6
1950 5 12 11.8
1950 5 13 13.95
1950 5 14 12.81
1950 5 15 15.65
1950 5 16 17.07
1950 5 17 16.96
1950 5 18 14.73
1950 5 19 16.36
1950 5 20 17.79
1950 5 21 16.89
1950 5 22 17.48
1950 5 23 14.32
1950 5 24 12.57
1950 5 25 10.26
1950 5 26 12.12
1950 5 27 15.38
1950 5 28 15.21
1950 5 29 21.71
1950 5 30 17.91
1950 5 31 18.98
1950 6 1 17.41
1950 6 2 16.22
1950 6 3 14.12
1950 6 4 15
1950 6 5 15.06
1950 6 6 13.04
1950 6 7 13.87
1950 6 8 13.25
1950 6 9 11.62
1950 6 10 13
1950 6 11 16.53
1950 6 12 16.68
1950 6 13 16.34
1950 6 14 18.71
1950 6 15 20.95
1950 6 16 19.66
1950 6 17 20.62
1950 6 18 21.1
1950 6 19 19.49
1950 6 20 17.73
1950 6 21 17.93
1950 6 22 17.71
1950 6 23 18.22
1950 6 24 17.69
1950 6 25 17.32
1950 6 26 17.47
1950 6 27 17.45
1950 6 28 17.8
1950 6 29 18.21
1950 6 30 19.31
1950 7 1 18
1950 7 2 17.77
1950 7 3 17.34
1950 7 4 17.9
1950 7 5 19.98
1950 7 6 19.59
1950 7 7 19.68
1950 7 8 20.13
1950 7 9 19.62
1950 7 10 18.5
1950 7 11 18.26
1950 7 12 19.32
1950 7 13 18.18
1950 7 14 18.99
1950 7 15 18.62
1950 7 16 17.19
1950 7 17 16.63
1950 7 18 18.16
1950 7 19 19.73
1950 7 20 19.58
1950 7 21 19.89
1950 7 22 20.59
1950 7 23 20.52
1950 7 24 20.26
1950 7 25 18.61
1950 7 26 18.76
1950 7 27 19.14
1950 7 28 17.99
1950 7 29 18.06
1950 7 30 18.85
1950 7 31 19.11
1950 8 1 20.62
1950 8 2 19.82
1950 8 3 17.26
1950 8 4 16.55
1950 8 5 16.95
1950 8 6 19.12
1950 8 7 19.26
1950 8 8 19.83
1950 8 9 19.78
1950 8 10 20.94
1950 8 11 19.39
1950 8 12 17.23
1950 8 13 17.71
1950 8 14 19.33
1950 8 15 23.34
1950 8 16 22.75
1950 8 17 19.69
1950 8 18 18.44
1950 8 19 16.83
1950 8 20 17.84
1950 8 21 17.28
1950 8 22 18.98
1950 8 23 18.69
1950 8 24 19.26
1950 8 25 18.5
1950 8 26 17.83
1950 8 27 18.28
1950 8 28 18.34
1950 8 29 19.74
1950 8 30 19.19
1950 8 31 18.49
1950 9 1 18.43
1950 9 2 18.93
1950 9 3 19.11
1950 9 4 17.83
1950 9 5 18.14
1950 9 6 17.44
1950 9 7 15.4
1950 9 8 14.89
1950 9 9 16.2
1950 9 10 16.69
1950 9 11 15.97
1950 9 12 15.09
1950 9 13 17.2
1950 9 14 17.36
1950 9 15 16.08
1950 9 16 16.51
1950 9 17 19.16
1950 9 18 16.8
1950 9 19 14.74
1950 9 20 16.16
1950 9 21 17.75
1950 9 22 17.89
1950 9 23 17.62
1950 9 24 18.98
1950 9 25 18.88
1950 9 26 19.3
1950 9 27 17.98
1950 9 28 17.58
1950 9 29 16.81
1950 9 30 17.23
1950 10 1 16.32
1950 10 2 15.05
1950 10 3 15.24
1950 10 4 11.43
1950 10 5 14.64
1950 10 6 14
1950 10 7 14.77
1950 10 8 14.14
1950 10 9 13.31
1950 10 10 11.82
1950 10 11 11.8
1950 10 12 9.61
1950 10 13 7.95
1950 10 14 5.97
1950 10 15 6.07
1950 10 16 6.52
1950 10 17 8.32
1950 10 18 8.31
1950 10 19 10.39
1950 10 20 11.08
1950 10 21 9.84
1950 10 22 9.3
1950 10 23 12.75
1950 10 24 12.13
1950 10 25 14.51
1950 10 26 8.1
1950 10 27 10.82
1950 10 28 12.78
1950 10 29 5.56
1950 10 30 2.05
1950 10 31 -1.91
1950 11 1 3.47
1950 11 2 7.41
1950 11 3 2.73
1950 11 4 0.21
1950 11 5 3.45
1950 11 6 4.88
1950 11 7 8.94
1950 11 8 0.11
1950 11 9 -5.75
1950 11 10 -4.02
1950 11 11 -2.22
1950 11 12 -0.23
1950 11 13 0.55
1950 11 14 1.92
1950 11 15 3.25
1950 11 16 4.67
1950 11 17 4.7
1950 11 18 3.6
1950 11 19 3.46
1950 11 20 3.17
1950 11 21 0.4
1950 11 22 -0.36
1950 11 23 6.1
1950 11 24 3.84
1950 11 25 -1.55
1950 11 26 0.14
1950 11 27 2.5
1950 11 28 1.2
1950 11 29 2.82
1950 11 30 9.35
1950 12 1 1.33
1950 12 2 -1.8
1950 12 3 1.39
1950 12 4 8.27
1950 12 5 -1.37
1950 12 6 -3.35
1950 12 7 -0.78
1950 12 8 -0.67
1950 12 9 -1.5
1950 12 10 -3.23
1950 12 11 -1.29
1950 12 12 1.16
1950 12 13 -1.6
1950 12 14 -8.65
1950 12 15 -5.93
1950 12 16 -4.89
1950 12 17 -3.11
1950 12 18 -4.5
1950 12 19 -4.45
1950 12 20 -3.84
1950 12 21 -3.21
1950 12 22 -3.33
1950 12 23 -4.53
1950 12 24 -5.6
1950 12 25 -2.46
1950 12 26 -2.47
1950 12 27 0.06
1950 12 28 1.82
1950 12 29 -3.34
1950 12 30 -1.41
1950 12 31 -1.09
1951 1 1 0.77
1951 1 2 -2.66
1951 1 3 -1.86
1951 1 4 -1.16
1951 1 5 0.14
1951 1 6 1.02
1951 1 7 -2.99
1951 1 8 1.2
1951 1 9 -1.68
1951 1 10 0.51
1951 1 11 0.49
1951 1 12 2.2
1951 1 13 6.42
1951 1 14 -3.08
1951 1 15 -5.3
1951 1 16 -4.57
1951 1 17 -1.63
1951 1 18 1.7
1951 1 19 1.47
1951 1 20 -8.39
1951 1 21 -9.32
1951 1 22 -5.82
1951 1 23 -4.1
1951 1 24 -5.05
1951 1 25 -0.83
1951 1 26 -4.82
1951 1 27 -9.46
1951 1 28 -4.2
1951 1 29 -3.02
1951 1 30 -12.57
1951 1 31 -16.08
1951 2 1 -11.55
1951 2 2 -10.12
1951 2 3 -4.14
1951 2 4 -4.43
1951 2 5 -3.82
1951 2 6 -3.37
1951 2 7 0.8
1951 2 8 -3.68
1951 2 9 -2.86
1951 2 10 5.84
1951 2 11 2.08
1951 2 12 1
1951 2 13 -0.28
1951 2 14 -5.57
1951 2 15 -5.19
1951 2 16 -1.42
1951 2 17 4.91
1951 2 18 4.04
1951 2 19 3.74
1951 2 20 -3.08
1951 2 21 -4.98
1951 2 22 1.08
1951 2 23 -1.17
1951 2 24 2.37
1951 2 25 -2.16
1951 2 26 -3.89
1951 2 27 2.2
1951 2 28 0.47
1951 3 1 -0.64
1951 3 2 1.06
1951 3 3 7.24
1951 3 4 0.47
1951 3 5 -0.06
1951 3 6 0.99
1951 3 7 -3.98
1951 3 8 -6.94
1951 3 9 -7.06
1951 3 10 -6.23
1951 3 11 -0.93
1951 3 12 2.85
1951 3 13 0.76
1951 3 14 7.2
1951 3 15 8.16
1951 3 16 5.55
1951 3 17 3.13
1951 3 18 4.37
1951 3 19 3.19
1951 3 20 5.45
1951 3 21 6.98
1951 3 22 6.79
1951 3 23 8.07
1951 3 24 6.88
1951 3 25 9.56
1951 3 26 11.89
1951 3 27 8.28
1951 3 28 5.84
1951 3 29 4.96
1951 3 30 1.85
1951 3 31 3.93
1951 4 1 7.32
1951 4 2 4.65
1951 4 3 5.27
1951 4 4 3.25
1951 4 5 2.47
1951 4 6 8.07
1951 4 7 4.92
1951 4 8 10.1
1951 4 9 5.83
1951 4 10 0.14
1951 4 11 -1.75
1951 4 12 5.07
1951 4 13 10.49
1951 4 14 1.47
1951 4 15 0.86
1951 4 16 1.91
1951 4 17 5.16
1951 4 18 11.11
1951 4 19 6.85
1951 4 20 4.7
1951 4 21 7.57
1951 4 22 7.73
1951 4 23 6.03
1951 4 24 9.38
1951 4 25 4.8
1951 4 26 8.57
1951 4 27 11.21
1951 4 28 11.01
1951 4 29 10.36
1951 4 30 10.24
1951 5 1 10.63
1951 5 2 11.23
1951 5 3 9.86
1951 5 4 9.85
1951 5 5 9.14
1951 5 6 8.73
1951 5 7 9.07
1951 5 8 10.25
1951 5 9 10.92
1951 5 10 10.63
1951 5 11 11.45
1951 5 12 12.6
1951 5 13 11.94
1951 5 14 11.24
1951 5 15 14.76
1951 5 16 16.65
1951 5 17 11.81
1951 5 18 10.76
1951 5 19 11.57
1951 5 20 12.87
1951 5 21 11.44
1951 5 22 11.12
1951 5 23 11.27
1951 5 24 14.46
1951 5 25 16.24
1951 5 26 17.01
1951 5 27 16.48
1951 5 28 17
1951 5 29 16.17
1951 5 30 16.09
1951 5 31 17.52
1951 6 1 16.81
1951 6 2 16.65
1951 6 3 15.08
1951 6 4 14.02
1951 6 5 15.26
1951 6 6 14.97
1951 6 7 16.47
1951 6 8 17.4
1951 6 9 17.24
1951 6 10 16.98
1951 6 11 15.27
1951 6 12 15.46
1951 6 13 16.01
1951 6 14 16.61
1951 6 15 16.69
1951 6 16 17.53
1951 6 17 18.09
1951 6 18 19.34
1951 6 19 18.05
1951 6 20 17.81
1951 6 21 17.39
1951 6 22 17.24
1951 6 23 17.88
1951 6 24 18.37
1951 6 25 19.99
1951 6 26 20.82
1951 6 27 19.47
1951 6 28 20.55
1951 6 29 22.29
1951 6 30 21
1951 7 1 18.6
1951 7 2 20
1951 7 3 19.69
1951 7 4 21.49
1951 7 5 22.87
1951 7 6 21.41
1951 7 7 20.51
1951 7 8 19.6
1951 7 9 19.63
1951 7 10 18.19
1951 7 11 18.01
1951 7 12 17.79
1951 7 13 18.19
1951 7 14 16.61
1951 7 15 18.59
1951 7 16 18.87
1951 7 17 20.1
1951 7 18 21.26
1951 7 19 20.29
1951 7 20 17.78
1951 7 21 16.36
1951 7 22 16.94
1951 7 23 18.96
1951 7 24 19.87
1951 7 25 20.37
1951 7 26 20.93
1951 7 27 23.23
1951 7 28 20.54
1951 7 29 20.57
1951 7 30 20.76
1951 7 31 20.42
1951 8 1 20.15
1951 8 2 19.17
1951 8 3 18.95
1951 8 4 17.87
1951 8 5 18.29
1951 8 6 19.26
1951 8 7 18.57
1951 8 8 18.67
1951 8 9 19.84
1951 8 10 20.89
1951 8 11 26.68
1951 8 12 22.13
1951 8 13 20.45
1951 8 14 18.89
1951 8 15 19.04
1951 8 16 20.08
1951 8 17 21.37
1951 8 18 20.83
1951 8 19 20.28
1951 8 20 19.04
1951 8 21 19.21
1951 8 22 18.55
1951 8 23 17.85
1951 8 24 17.79
1951 8 25 16.88
1951 8 26 17
1951 8 27 16.25
1951 8 28 16.78
1951 8 29 16.92
1951 8 30 16.35
1951 8 31 16.05
1951 9 1 17.06
1951 9 2 17.87
1951 9 3 17.88
1951 9 4 18.69
1951 9 5 19.24
1951 9 6 19.43
1951 9 7 19.73
1951 9 8 19.6
1951 9 9 18.18
1951 9 10 18.03
1951 9 11 18.9
1951 9 12 19.56
1951 9 13 19.46
1951 9 14 18.85
1951 9 15 25.21
1951 9 16 19.37
1951 9 17 17.26
1951 9 18 13.47
1951 9 19 8.83
1951 9 20 8.6
1951 9 21 7.09
1951 9 22 6.95
1951 9 23 7.79
1951 9 24 8.81
1951 9 25 10
1951 9 26 9.8
1951 9 27 13.5
1951 9 28 14.61
1951 9 29 12.6
1951 9 30 12.38
1951 10 1 15.07
1951 10 2 14.33
1951 10 3 11.12
1951 10 4 9.87
1951 10 5 9.39
1951 10 6 8.51
1951 10 7 11.31
1951 10 8 12.74
1951 10 9 7.88
1951 10 10 9.65
1951 10 11 13.85
1951 10 12 9.86
1951 10 13 8.27
1951 10 14 10.11
1951 10 15 11
1951 10 16 10.85
1951 10 17 5.93
1951 10 18 4.1
1951 10 19 5.19
1951 10 20 5.85
1951 10 21 5.72
1951 10 22 6.2
1951 10 23 6.33
1951 10 24 6.5
1951 10 25 5.93
1951 10 26 7.04
1951 10 27 1.38
1951 10 28 0.67
1951 10 29 2.13
1951 10 30 4.76
1951 10 31 6.02
1951 11 1 4.97
1951 11 2 8.89
