PLOT,EASTING,NORTHING,QUGRI,long,lat
D101,581547,3397022,75.01472062000,-104.14800000000,30.70320000000
D105,583941,3397017,60.00000000000,-104.12300000000,30.70300000000
D115,580341,3394016,68.57142857000,-104.16100000000,30.67620000000
D151,579740,3394618,53.57142857000,-104.16700000000,30.68170000000
D219,588143,3396417,60.00000000000,-104.08000000000,30.69730000000
D237,584540,3398824,64.28571429000,-104.11700000000,30.71930000000
D29,582147,3392222,58.62068966000,-104.14300000000,30.65990000000
D54,581550,3394627,66.66666667000,-104.14900000000,30.68160000000
D8,579763,3391574,64.70588235000,-104.16700000000,30.65420000000
D93,580342,3395219,82.60869565000,-104.16100000000,30.68700000000
