PLOT,EASTING,NORTHING,pist,Field5,Field6,NOTE__Only,long,lat
D188,585141,3392223,70.36462906000,,,,-104.11100000000,30.65970000000
D21,583925,3392266,20.05705831000,,,,-104.12400000000,30.66010000000
D26,583376,3391020,99.48069827000,,,,-104.13000000000,30.64890000000
