PLOT,NORTHING,EASTING,qugrav,Field5,Note_,long,lat
D101,581547,3397022,28.57142857000,,"D267, D268 are on old Eppenauer property down very steep drainages.",-104.14800000000,30.70320000000
D110,579139,3395824,9.30108439200,,"D101 is accessible, D110 is on the backside of richmond mountain and not accessible easily",-104.17400000000,30.69260000000
D267,588738,3401224,35.19594736000,,,-104.07300000000,30.74060000000
