"1-Wire/iButton Part Number: DS1923"		
"1-Wire/iButton Registration Number: 11000000149BC741"		
"Mission in Progress?  true"		
"SUTA Mission?  false"		
"Waiting for Temperature Alarm?  false"		
"Sample Rate:  Every 3600 second(s)"		
"Mission Start Time:  Sat Feb 25 12:19:01 CST 2012"		
"Mission Sample Count:  2256"		
"Roll Over Enabled?  false(no rollover occurred)"		
"First Sample Timestamp:  Sat Feb 25 12:19:01 CST 2012"		
"Total Mission Samples:  2256"		
"Total Device Samples:  32389"		
"Temperature Logging:  0.5 C"		
"Temperature High Alarm:  disabled"		
"Temperature Low Alarm:  disabled"		
"Data Logging:  0.6 %RH"		
"Data High Alarm:  disabled"		
"Data Low Alarm:  disabled"		
		
"Date/Time"	"Unit"	"Value"
"2/25/12 12:19:01 PM"	"%RH"	28.206
"2/25/12 1:19:01 PM"	"%RH"	28.206
"2/25/12 2:19:01 PM"	"%RH"	26.905
"2/25/12 3:19:01 PM"	"%RH"	22.968
"2/25/12 4:19:01 PM"	"%RH"	21.645
"2/25/12 5:19:01 PM"	"%RH"	30.79
"2/25/12 6:19:01 PM"	"%RH"	33.989
"2/25/12 7:19:01 PM"	"%RH"	39.656
"2/25/12 8:19:01 PM"	"%RH"	42.755
"2/25/12 9:19:01 PM"	"%RH"	39.032
"2/25/12 10:19:01 PM"	"%RH"	42.138
"2/25/12 11:19:01 PM"	"%RH"	44.597
"2/26/12 12:19:01 AM"	"%RH"	45.818
"2/26/12 1:19:01 AM"	"%RH"	48.845
"2/26/12 2:19:01 AM"	"%RH"	49.446
"2/26/12 3:19:01 AM"	"%RH"	47.033
"2/26/12 4:19:01 AM"	"%RH"	46.426
"2/26/12 5:19:01 AM"	"%RH"	50.046
"2/26/12 6:19:01 AM"	"%RH"	50.644
"2/26/12 7:19:01 AM"	"%RH"	62.88
"2/26/12 8:19:01 AM"	"%RH"	66.26
"2/26/12 9:19:01 AM"	"%RH"	48.242
"2/26/12 10:19:01 AM"	"%RH"	30.79
"2/26/12 11:19:01 AM"	"%RH"	30.79
