PLOT,NORTHING,EASTING,long,lat
plot24,667013,3240551,-103.28100000000,29.28290000000
plot29,667729,3241040,-103.27300000000,29.28720000000
plot30,667548,3241186,-103.27500000000,29.28850000000
plot74,667695,3241616,-103.27400000000,29.29240000000
plot75,667991,3241462,-103.27100000000,29.29100000000
plot80,667084,3241247,-103.28000000000,29.28910000000
