plot,PSME,UTM_E,UTM_N,Lat,Long
plot1,84.26093354000,514801.00000000000,3532772.00000000000,-104.84300000000,31.93250000000
plot100,141.08386900000,513188.00000000000,3532077.00000000000,-104.86000000000,31.92620000000
plot101,105.26899800000,517802.00000000000,3537457.00000000000,-104.81200000000,31.97470000000
plot103,94.61742783000,518576.00000000000,3537757.00000000000,-104.80300000000,31.97740000000
plot106,110.88451960000,518158.00000000000,3537905.00000000000,-104.80800000000,31.97870000000
plot107,126.98568000000,517981.00000000000,3537969.00000000000,-104.81000000000,31.97930000000
plot108,79.11254009000,517348.00000000000,3538928.00000000000,-104.81600000000,31.98800000000
plot109,61.45466779000,517311.00000000000,3538495.00000000000,-104.81700000000,31.98410000000
plot11,73.04826031000,516013.00000000000,3532250.00000000000,-104.83100000000,31.92770000000
plot110,102.65105880000,517191.00000000000,3538692.00000000000,-104.81800000000,31.98580000000
plot114,79.20467200000,516462.00000000000,3537582.00000000000,-104.82600000000,31.97580000000
plot118,66.78884131000,515864.00000000000,3533631.00000000000,-104.83200000000,31.94020000000
plot119,136.61498100000,515733.00000000000,3533707.00000000000,-104.83400000000,31.94090000000
plot12,79.52389974000,515802.00000000000,3532537.00000000000,-104.83300000000,31.93030000000
plot120,136.16546470000,516854.00000000000,3537424.00000000000,-104.82200000000,31.97440000000
plot123,124.16508610000,515455.00000000000,3534410.00000000000,-104.83600000000,31.94720000000
plot125,57.01081158000,515279.00000000000,3534864.00000000000,-104.83800000000,31.95130000000
plot13,59.45436052000,515800.00000000000,3532800.00000000000,-104.83300000000,31.93270000000
plot136,129.43091930000,511686.00000000000,3534392.00000000000,-104.87600000000,31.94710000000
plot138,138.04256720000,511577.00000000000,3533960.00000000000,-104.87800000000,31.94320000000
plot139,65.30134361000,511697.00000000000,3533331.00000000000,-104.87600000000,31.93750000000
plot147,102.94649740000,511546.00000000000,3534817.00000000000,-104.87800000000,31.95090000000
plot149,88.23307666000,512418.00000000000,3534963.00000000000,-104.86900000000,31.95220000000
plot156,53.73909428000,512383.00000000000,3534267.00000000000,-104.86900000000,31.94600000000
plot2,71.49543973000,515001.00000000000,3532462.00000000000,-104.84100000000,31.92970000000
plot23,60.53191649000,514692.00000000000,3533691.00000000000,-104.84500000000,31.94070000000
plot25,117.51839500000,514183.00000000000,3531370.00000000000,-104.85000000000,31.91980000000
plot27,54.42822037000,514600.00000000000,3531700.00000000000,-104.84600000000,31.92280000000
plot29,137.72291820000,515903.00000000000,3531163.00000000000,-104.83200000000,31.91790000000
plot3,64.60083321000,514912.00000000000,3532137.00000000000,-104.84200000000,31.92670000000
plot30,99.95829442000,516136.00000000000,3531290.00000000000,-104.82900000000,31.91910000000
plot31,138.70520220000,516367.00000000000,3531340.00000000000,-104.82700000000,31.91950000000
plot32,66.65394394000,515190.00000000000,3531300.00000000000,-104.83900000000,31.91920000000
plot33,95.73377448000,515190.00000000000,3531490.00000000000,-104.83900000000,31.92090000000
plot34,92.62283792000,515030.00000000000,3531690.00000000000,-104.84100000000,31.92270000000
plot37,123.68427340000,514935.00000000000,3531993.00000000000,-104.84200000000,31.92540000000
plot39,68.65718417000,514112.00000000000,3532440.00000000000,-104.85100000000,31.92950000000
plot4,95.23803081000,514935.00000000000,3531292.00000000000,-104.84200000000,31.91910000000
plot40,50.03845654000,514200.00000000000,3532300.00000000000,-104.85000000000,31.92820000000
plot42,75.61633980000,514420.00000000000,3532380.00000000000,-104.84700000000,31.92890000000
plot43,137.35025910000,514026.00000000000,3532302.00000000000,-104.85200000000,31.92820000000
plot44,139.00018540000,513878.00000000000,3532082.00000000000,-104.85300000000,31.92620000000
plot45,103.98736450000,513693.00000000000,3531980.00000000000,-104.85500000000,31.92530000000
plot46,73.99909203000,515740.00000000000,3531819.00000000000,-104.83400000000,31.92380000000
plot47,95.06796992000,515565.00000000000,3531610.00000000000,-104.83500000000,31.92200000000
plot48,72.49588030000,515305.00000000000,3531076.00000000000,-104.83800000000,31.91710000000
plot54,64.08830677000,514566.00000000000,3533412.00000000000,-104.84600000000,31.93820000000
plot59,83.41014985000,513667.00000000000,3534430.00000000000,-104.85500000000,31.94740000000
plot6,52.82388876000,515249.00000000000,3531458.00000000000,-104.83900000000,31.92060000000
plot60,78.81676267000,513939.00000000000,3534678.00000000000,-104.85300000000,31.94970000000
plot61,66.57182066000,514178.00000000000,3532783.00000000000,-104.85000000000,31.93260000000
plot62,75.97773190000,514068.00000000000,3533123.00000000000,-104.85100000000,31.93560000000
plot63,74.36804310000,513893.00000000000,3533155.00000000000,-104.85300000000,31.93590000000
plot64,148.42285520000,513830.00000000000,3533026.00000000000,-104.85400000000,31.93480000000
plot65,150.95731790000,513778.00000000000,3532816.00000000000,-104.85400000000,31.93290000000
plot66,99.62049740000,513830.00000000000,3533773.00000000000,-104.85400000000,31.94150000000
