plot,PSME,UTM_E,UTM_N,Lat,Long
plot67,75.71759927000,513791.00000000000,3533590.00000000000,-104.85400000000,31.93980000000
plot68,70.48183540000,514004.00000000000,3533678.00000000000,-104.85200000000,31.94060000000
plot7,70.54458321000,515084.00000000000,3532160.00000000000,-104.84000000000,31.92690000000
plot70,71.68777457000,514003.00000000000,3534306.00000000000,-104.85200000000,31.94630000000
plot72,146.25329730000,512520.00000000000,3532212.00000000000,-104.86800000000,31.92740000000
plot75,108.80378840000,512160.00000000000,3532254.00000000000,-104.87100000000,31.92780000000
plot76,67.44563836000,511881.00000000000,3532803.00000000000,-104.87400000000,31.93280000000
plot79,80.12932118000,512730.00000000000,3533404.00000000000,-104.86500000000,31.93820000000
plot8,91.60516321000,516061.00000000000,3530785.00000000000,-104.83000000000,31.91450000000
plot81,108.48359450000,512290.00000000000,3533553.00000000000,-104.87000000000,31.93950000000
plot82,83.38328758000,512156.00000000000,3533482.00000000000,-104.87100000000,31.93890000000
plot83,68.42933147000,511967.00000000000,3533282.00000000000,-104.87300000000,31.93710000000
plot84,52.23849299000,513322.00000000000,3533483.00000000000,-104.85900000000,31.93890000000
plot85,115.21483050000,513152.00000000000,3533210.00000000000,-104.86100000000,31.93640000000
plot86,76.79173251000,513034.00000000000,3533144.00000000000,-104.86200000000,31.93580000000
plot88,75.21174586000,512508.00000000000,3533936.00000000000,-104.86800000000,31.94300000000
plot9,130.83003350000,516190.00000000000,3530977.00000000000,-104.82900000000,31.91620000000
plot92,114.96718580000,512591.00000000000,3532881.00000000000,-104.86700000000,31.93350000000
plot93,102.55615580000,512455.00000000000,3532704.00000000000,-104.86800000000,31.93190000000
plot96,132.95606380000,513303.00000000000,3532876.00000000000,-104.85900000000,31.93340000000
plot97,93.22912839000,513250.00000000000,3532694.00000000000,-104.86000000000,31.93180000000
plot98,57.26117149000,513498.00000000000,3532334.00000000000,-104.85700000000,31.92850000000
plot99,81.23432935000,513310.00000000000,3532256.00000000000,-104.85900000000,31.92780000000
