plot__,UTM_E,UTM_N,JUDE,NEAR_FID,NEAR_DIST,lon,lat
142.000000,509440.000000,3536040.000000,153.550776,20,137.91242809600,-104.90000000000,31.96200000000
56.000000,514225.000000,3533501.000000,124.694191,26,114.23017924900,-104.85000000000,31.93900000000
14.000000,515272.000000,3532134.000000,102.634998,5,81.02495641360,-104.83800000000,31.92670000000
21.000000,514750.000000,3531903.000000,75.338325,26,101.86529691100,-104.84400000000,31.92460000000
18.000000,514700.000000,3532650.000000,70.257975,26,32.01930513980,-104.84400000000,31.93140000000
19.000000,514716.000000,3532414.000000,66.912264,26,58.77083040570,-104.84400000000,31.92920000000
15.000000,515279.000000,3532321.000000,64.459350,5,140.38051578000,-104.83800000000,31.92840000000
145.000000,510111.000000,3536212.000000,64.198370,23,54.37518680040,-104.89300000000,31.96350000000
20.000000,514810.000000,3532136.000000,60.011210,26,29.06203534090,-104.84300000000,31.92670000000
101.000000,517802.000000,3537457.000000,58.986601,30,65.53971776000,-104.81200000000,31.97470000000
35.000000,514962.000000,3531849.000000,50.020486,26,91.85033667860,-104.84200000000,31.92410000000
0.000000,515491.000000,3529347.000000,24.000000,36,88.08699886980,-104.83600000000,31.90150000000
0.000000,515365.000000,3529444.000000,12.000000,36,100.06468361100,-104.83800000000,31.90240000000
0.000000,515389.000000,3529424.000000,14.000000,36,84.27318669560,-104.83700000000,31.90220000000
0.000000,515289.000000,3529477.000000,10.000000,36,127.82234917000,-104.83800000000,31.90270000000
0.000000,515283.000000,3529464.000000,20.000000,36,114.73267611300,-104.83800000000,31.90260000000
0.000000,515462.000000,3529334.000000,6.000000,36,60.30783105880,-104.83600000000,31.90140000000
0.000000,515343.000000,3529414.000000,12.000000,36,69.96456029720,-104.83800000000,31.90210000000
0.000000,515490.000000,3529302.000000,8.000000,36,48.56154750460,-104.83600000000,31.90110000000
