Row_Labels,easting,northing,elev,QUGRI,NEAR_FID,NEAR_DIST,lon,lat
G141,515878.000000,3529246.000000,1809.000000,6.000000,26,99.72682616370,-104.83200000000,-104.83200000000
g125,515251.000000,3529493.000000,1845.000000,6.000000,36,147.04775587400,-104.83900000000,-104.83900000000
G121,515343.000000,3529414.000000,1856.000000,8.000000,36,69.96456029720,-104.83800000000,-104.83800000000
G123,515389.000000,3529424.000000,1847.000000,10.000000,36,84.27318669560,-104.83700000000,-104.83700000000
g124,515283.000000,3529464.000000,1853.000000,10.000000,36,114.73267611300,-104.83800000000,-104.83800000000
G140,515897.000000,3529188.000000,1803.000000,12.000000,26,59.04347566250,-104.83200000000,-104.83200000000
G122,515365.000000,3529444.000000,1844.000000,14.000000,36,100.06468361000,-104.83800000000,-104.83800000000
g127,515289.000000,3529477.000000,1850.000000,14.000000,36,127.82234917000,-104.83800000000,-104.83800000000
g134,515737.000000,3529328.000000,1818.000000,17.000000,26,24.66024032270,-104.83400000000,-104.83400000000
G139,515870.000000,3529223.000000,1803.000000,18.000000,26,75.37710956250,-104.83200000000,-104.83200000000
g135,515772.000000,3529327.000000,1813.000000,18.000000,26,41.88269051280,-104.83300000000,-104.83300000000
g129,515560.000000,3529500.000000,1838.000000,24.000000,26,115.75952314900,-104.83500000000,-104.83500000000
g126,515289.000000,3529477.000000,1850.000000,29.000000,36,127.82234917000,-104.83800000000,-104.83800000000
