Measurement Time,m³/m³ VWC,m³/m³ VWC,kPa Potential,°C Temp,kPa Potential,°C Temp,None
8/11/2013 4:00 PM,0.100,0.140,-58.5,22.6,-21.3,20.1,
8/11/2013 5:00 PM,0.100,0.139,-59.9,22.9,-22.1,20.2,
8/11/2013 6:00 PM,0.100,0.139,-61.8,23.1,-23.0,20.4,
8/11/2013 7:00 PM,0.100,0.139,-63.9,23.3,-23.8,20.6,
8/11/2013 8:00 PM,0.100,0.138,-66.1,23.4,-24.5,20.8,
8/11/2013 9:00 PM,0.100,0.138,-68.1,23.4,-24.8,20.9,
8/11/2013 10:00 PM,0.100,0.138,-69.5,23.3,-24.8,20.9,
8/11/2013 11:00 PM,0.100,0.138,-70.4,23.1,-24.7,20.9,
8/12/2013 12:00 AM,0.100,0.137,-70.7,22.9,-24.7,20.8,
8/12/2013 1:00 AM,0.100,0.137,-70.6,22.7,-24.7,20.8,
8/12/2013 2:00 AM,0.100,0.137,-70.8,22.4,-24.6,20.6,
8/12/2013 3:00 AM,0.100,0.137,-70.8,22.2,-24.5,20.5,
8/12/2013 4:00 AM,0.099,0.137,-70.7,22.0,-24.5,20.4,
8/12/2013 5:00 AM,0.099,0.137,-70.7,21.8,-24.4,20.3,
8/12/2013 6:00 AM,0.099,0.137,-70.6,21.6,-24.4,20.2,
8/12/2013 7:00 AM,0.099,0.137,-70.5,21.4,-24.3,20.0,
8/12/2013 8:00 AM,0.098,0.137,-70.4,21.2,-24.3,19.9,
8/12/2013 9:00 AM,0.098,0.137,-70.1,21.1,-24.3,19.8,
8/12/2013 10:00 AM,0.098,0.137,-70.1,20.9,-24.3,19.7,
8/12/2013 11:00 AM,0.098,0.137,-70.6,20.9,-24.7,19.6,
8/12/2013 12:00 PM,0.098,0.136,-71.5,21.0,-25.4,19.7,
8/12/2013 1:00 PM,0.098,0.135,-72.5,21.6,-26.4,19.8,
8/12/2013 2:00 PM,0.099,0.134,-73.6,22.9,-27.5,20.0,
8/12/2013 3:00 PM,0.098,0.134,-74.4,24.5,-28.6,20.2,
8/12/2013 4:00 PM,0.098,0.134,-75.4,25.5,-29.9,20.4,
8/12/2013 5:00 PM,0.098,0.133,-77.9,25.7,-31.4,20.6,
8/12/2013 6:00 PM,0.098,0.133,-81.6,25.7,-32.5,20.9,
8/12/2013 7:00 PM,0.098,0.133,-86.9,25.6,-33.6,21.1,
8/12/2013 8:00 PM,0.098,0.132,-93.0,25.4,-33.9,21.2,
8/12/2013 9:00 PM,0.098,0.132,-97.8,25.2,-34.1,21.3,
