Measurement Time,kPa Potential,m³/m³ VWC,m³/m³ VWC,kPa Potential,None
5/24/2012 11:30 AM,#N/A,-0.098,-0.042,#N/A,
5/24/2012 12:00 PM,-36,0.230,0.338,-23,
5/24/2012 12:30 PM,-36,0.229,0.338,-23,
5/24/2012 1:00 PM,-36,0.226,0.337,-23,
5/24/2012 1:30 PM,-37,0.224,0.337,-23,
5/24/2012 2:00 PM,-37,0.222,0.336,-23,
5/24/2012 2:30 PM,-38,0.220,0.335,-24,
5/24/2012 3:00 PM,-39,0.219,0.335,-24,
5/24/2012 3:30 PM,-39,0.218,0.335,-25,
5/24/2012 4:00 PM,-40,0.216,0.335,-25,
5/24/2012 4:30 PM,-41,0.214,0.334,-26,
5/24/2012 5:00 PM,-41,0.213,0.333,-27,
5/24/2012 5:30 PM,-42,0.212,0.332,-27,
5/24/2012 6:00 PM,-42,0.212,0.332,-27,
5/24/2012 6:30 PM,-42,0.210,0.332,-27,
5/24/2012 7:00 PM,-42,0.210,0.332,-27,
5/24/2012 7:30 PM,-43,0.210,0.332,-27,
5/24/2012 8:00 PM,-43,0.210,0.331,-28,
5/24/2012 8:30 PM,-43,0.210,0.331,-27,
5/24/2012 9:00 PM,-43,0.210,0.330,-28,
5/24/2012 9:30 PM,-43,0.210,0.330,-28,
5/24/2012 10:00 PM,-43,0.209,0.329,-28,
5/24/2012 10:30 PM,-43,0.209,0.328,-28,
5/24/2012 11:00 PM,-43,0.209,0.328,-28,
5/24/2012 11:30 PM,-43,0.209,0.328,-28,
5/25/2012 12:00 AM,-43,0.209,0.328,-28,
5/25/2012 12:30 AM,-43,0.209,0.327,-28,
5/25/2012 1:00 AM,-43,0.208,0.327,-28,
5/25/2012 1:30 AM,-43,0.208,0.326,-28,
5/25/2012 2:00 AM,-44,0.208,0.326,-29,
5/25/2012 2:30 AM,-44,0.208,0.326,-28,
5/25/2012 3:00 AM,-44,0.207,0.326,-29,
5/25/2012 3:30 AM,-44,0.207,0.325,-29,
5/25/2012 4:00 AM,-44,0.207,0.325,-29,
5/25/2012 4:30 AM,-44,0.207,0.325,-29,
5/25/2012 5:00 AM,-44,0.207,0.324,-29,
5/25/2012 5:30 AM,-44,0.207,0.324,-29,
5/25/2012 6:00 AM,-45,0.207,0.324,-29,
5/25/2012 6:30 AM,-45,0.207,0.323,-30,
5/25/2012 7:00 AM,-45,0.206,0.323,-30,
5/25/2012 7:30 AM,-45,0.206,0.322,-30,
5/25/2012 8:00 AM,-45,0.205,0.322,-30,
5/25/2012 8:30 AM,-46,0.204,0.321,-30,
5/25/2012 9:00 AM,-46,0.203,0.321,-31,
5/25/2012 9:30 AM,-46,0.202,0.321,-31,
5/25/2012 10:00 AM,-47,0.200,0.321,-32,
5/25/2012 10:30 AM,-48,0.199,0.321,-32,
5/25/2012 11:00 AM,-48,0.197,0.321,-33,
5/25/2012 11:30 AM,-49,0.196,0.320,-33,
5/25/2012 12:00 PM,-49,0.194,0.320,-34,
5/25/2012 12:30 PM,-49,0.192,0.319,-34,
5/25/2012 1:00 PM,-50,0.191,0.318,-35,
5/25/2012 1:30 PM,-51,0.189,0.318,-36,
5/25/2012 2:00 PM,-51,0.187,0.318,-36,
5/25/2012 2:30 PM,-52,0.186,0.318,-37,
5/25/2012 3:00 PM,-52,0.185,0.317,-38,
5/25/2012 3:30 PM,-53,0.185,0.316,-39,
5/25/2012 4:00 PM,-53,0.183,0.316,-40,
5/25/2012 4:30 PM,-54,0.183,0.315,-41,
5/25/2012 5:00 PM,-55,0.181,0.315,-41,
5/25/2012 5:30 PM,-55,0.181,0.315,-42,
5/25/2012 6:00 PM,-55,0.179,0.315,-42,
5/25/2012 6:30 PM,-55,0.179,0.315,-43,
5/25/2012 7:00 PM,-56,0.179,0.315,-43,
5/25/2012 7:30 PM,-56,0.179,0.314,-43,
5/25/2012 8:00 PM,-56,0.179,0.313,-43,
5/25/2012 8:30 PM,-57,0.179,0.313,-43,
5/25/2012 9:00 PM,-57,0.179,0.313,-43,
5/25/2012 9:30 PM,-57,0.179,0.312,-43,
5/25/2012 10:00 PM,-57,0.179,0.311,-43,
5/25/2012 10:30 PM,-57,0.179,0.311,-43,
5/25/2012 11:00 PM,-57,0.179,0.311,-44,
5/25/2012 11:30 PM,-57,0.179,0.311,-43,
5/26/2012 12:00 AM,-57,0.179,0.310,-43,
5/26/2012 12:30 AM,-57,0.179,0.310,-43,
5/26/2012 1:00 AM,-57,0.179,0.310,-44,
5/26/2012 1:30 AM,-57,0.179,0.310,-44,
5/26/2012 2:00 AM,-57,0.179,0.310,-44,
5/26/2012 2:30 AM,-57,0.179,0.309,-44,
5/26/2012 3:00 AM,-57,0.179,0.309,-44,
5/26/2012 3:30 AM,-57,0.179,0.308,-44,
5/26/2012 4:00 AM,-57,0.179,0.308,-44,
5/26/2012 4:30 AM,-57,0.179,0.308,-44,
5/26/2012 5:00 AM,-57,0.179,0.307,-44,
5/26/2012 5:30 AM,-57,0.179,0.307,-44,
5/26/2012 6:00 AM,-57,0.178,0.307,-44,
5/26/2012 6:30 AM,-57,0.178,0.306,-45,
5/26/2012 7:00 AM,-57,0.178,0.306,-45,
5/26/2012 7:30 AM,-58,0.178,0.306,-45,
5/26/2012 8:00 AM,-58,0.178,0.305,-45,
5/26/2012 8:30 AM,-58,0.178,0.305,-45,
5/26/2012 9:00 AM,-58,0.177,0.304,-45,
5/26/2012 9:30 AM,-58,0.176,0.304,-46,
5/26/2012 10:00 AM,-59,0.175,0.304,-46,
5/26/2012 10:30 AM,-59,0.175,0.304,-47,
5/26/2012 11:00 AM,-60,0.174,0.304,-47,
5/26/2012 11:30 AM,-60,0.173,0.304,-47,
5/26/2012 12:00 PM,-61,0.172,0.304,-48,
5/26/2012 12:30 PM,-61,0.171,0.303,-49,
5/26/2012 1:00 PM,-62,0.169,0.302,-49,
5/26/2012 1:30 PM,-63,0.168,0.302,-50,
5/26/2012 2:00 PM,-63,0.168,0.302,-51,
5/26/2012 2:30 PM,-64,0.166,0.301,-52,
5/26/2012 3:00 PM,-64,0.166,0.301,-52,
5/26/2012 3:30 PM,-64,0.165,0.301,-53,
5/26/2012 4:00 PM,-65,0.164,0.300,-54,
5/26/2012 4:30 PM,-66,0.164,0.300,-55,
5/26/2012 5:00 PM,-66,0.163,0.299,-55,
5/26/2012 5:30 PM,-67,0.162,0.299,-56,
5/26/2012 6:00 PM,-67,0.162,0.298,-56,
5/26/2012 6:30 PM,-67,0.162,0.298,-57,
5/26/2012 7:00 PM,-67,0.162,0.298,-57,
5/26/2012 7:30 PM,-68,0.162,0.298,-57,
5/26/2012 8:00 PM,-68,0.162,0.298,-57,
5/26/2012 8:30 PM,-68,0.162,0.297,-57,
5/26/2012 9:00 PM,-68,0.162,0.297,-57,
5/26/2012 9:30 PM,-68,0.162,0.296,-57,
5/26/2012 10:00 PM,-68,0.160,0.294,-57,
5/26/2012 10:30 PM,-68,0.161,0.294,-57,
5/26/2012 11:00 PM,-68,0.161,0.294,-57,
5/26/2012 11:30 PM,-68,0.161,0.294,-57,
5/27/2012 12:00 AM,-68,0.161,0.294,-57,
5/27/2012 12:30 AM,-68,0.161,0.294,-57,
5/27/2012 1:00 AM,-67,0.161,0.293,-57,
5/27/2012 1:30 AM,-68,0.161,0.293,-57,
5/27/2012 2:00 AM,-68,0.161,0.292,-57,
5/27/2012 2:30 AM,-68,0.161,0.292,-57,
5/27/2012 3:00 AM,-68,0.161,0.292,-57,
5/27/2012 3:30 AM,-68,0.160,0.292,-57,
5/27/2012 4:00 AM,-68,0.160,0.292,-57,
5/27/2012 4:30 AM,-68,0.160,0.292,-57,
5/27/2012 5:00 AM,-68,0.160,0.291,-57,
5/27/2012 5:30 AM,-68,0.160,0.291,-57,
5/27/2012 6:00 AM,-68,0.160,0.291,-57,
5/27/2012 6:30 AM,-68,0.160,0.291,-57,
5/27/2012 7:00 AM,-68,0.160,0.290,-57,
5/27/2012 7:30 AM,-68,0.160,0.290,-57,
5/27/2012 8:00 AM,-68,0.159,0.290,-57,
5/27/2012 8:30 AM,-68,0.159,0.289,-57,
5/27/2012 9:00 AM,-68,0.159,0.289,-57,
5/27/2012 9:30 AM,-69,0.159,0.288,-57,
5/27/2012 10:00 AM,-69,0.158,0.288,-58,
5/27/2012 10:30 AM,-69,0.157,0.288,-58,
5/27/2012 11:00 AM,-70,0.157,0.287,-59,
5/27/2012 11:30 AM,-71,0.156,0.287,-59,
5/27/2012 12:00 PM,-71,0.156,0.287,-59,
5/27/2012 12:30 PM,-71,0.156,0.287,-60,
5/27/2012 1:00 PM,-71,0.154,0.287,-60,
5/27/2012 1:30 PM,-72,0.153,0.287,-60,
5/27/2012 2:00 PM,-73,0.152,0.286,-61,
5/27/2012 2:30 PM,-73,0.152,0.286,-62,
5/27/2012 3:00 PM,-73,0.152,0.286,-62,
5/27/2012 3:30 PM,-74,0.151,0.285,-63,
5/27/2012 4:00 PM,-74,0.151,0.285,-64,
5/27/2012 4:30 PM,-76,0.150,0.285,-65,
5/27/2012 5:00 PM,-76,0.149,0.284,-66,
5/27/2012 5:30 PM,-77,0.149,0.284,-66,
5/27/2012 6:00 PM,-77,0.149,0.283,-66,
5/27/2012 6:30 PM,-78,0.149,0.283,-67,
5/27/2012 7:00 PM,-78,0.149,0.282,-67,
5/27/2012 7:30 PM,-78,0.148,0.282,-67,
5/27/2012 8:00 PM,-78,0.148,0.281,-67,
5/27/2012 8:30 PM,-78,0.148,0.281,-67,
5/27/2012 9:00 PM,-78,0.148,0.281,-67,
5/27/2012 9:30 PM,-78,0.148,0.281,-67,
5/27/2012 10:00 PM,-78,0.148,0.281,-67,
5/27/2012 10:30 PM,-78,0.148,0.281,-67,
5/27/2012 11:00 PM,-78,0.148,0.281,-67,
5/27/2012 11:30 PM,-78,0.148,0.281,-67,
5/28/2012 12:00 AM,-78,0.148,0.280,-67,
5/28/2012 12:30 AM,-78,0.148,0.280,-67,
5/28/2012 1:00 AM,-79,0.148,0.279,-67,
5/28/2012 1:30 AM,-78,0.148,0.279,-67,
5/28/2012 2:00 AM,-78,0.148,0.279,-67,
5/28/2012 2:30 AM,-78,0.148,0.278,-67,
5/28/2012 3:00 AM,-78,0.148,0.278,-67,
5/28/2012 3:30 AM,-79,0.148,0.278,-67,
5/28/2012 4:00 AM,-79,0.148,0.277,-68,
5/28/2012 4:30 AM,-79,0.148,0.277,-68,
5/28/2012 5:00 AM,-79,0.148,0.277,-68,
5/28/2012 5:30 AM,-79,0.148,0.277,-67,
5/28/2012 6:00 AM,-80,0.148,0.276,-68,
5/28/2012 6:30 AM,-79,0.148,0.276,-68,
5/28/2012 7:00 AM,-80,0.147,0.275,-68,
5/28/2012 7:30 AM,-80,0.147,0.275,-68,
5/28/2012 8:00 AM,-80,0.147,0.275,-68,
5/28/2012 8:30 AM,-80,0.147,0.275,-68,
5/28/2012 9:00 AM,-80,0.145,0.275,-69,
5/28/2012 9:30 AM,-81,0.145,0.275,-69,
5/28/2012 10:00 AM,-82,0.145,0.275,-70,
5/28/2012 10:30 AM,-82,0.144,0.274,-71,
5/28/2012 11:00 AM,-83,0.143,0.274,-72,
5/28/2012 11:30 AM,-84,0.142,0.274,-72,
5/28/2012 12:00 PM,-85,0.141,0.273,-73,
5/28/2012 12:30 PM,-86,0.140,0.273,-73,
5/28/2012 1:00 PM,-86,0.139,0.272,-74,
5/28/2012 1:30 PM,-87,0.139,0.271,-75,
5/28/2012 2:00 PM,-88,0.138,0.271,-76,
5/28/2012 2:30 PM,-88,0.138,0.271,-77,
5/28/2012 3:00 PM,-90,0.137,0.270,-77,
5/28/2012 3:30 PM,-90,0.136,0.270,-79,
5/28/2012 4:00 PM,-91,0.135,0.270,-80,
5/28/2012 4:30 PM,-93,0.135,0.270,-82,
5/28/2012 5:00 PM,-94,0.134,0.269,-84,
5/28/2012 5:30 PM,-95,0.134,0.268,-84,
5/28/2012 6:00 PM,-96,0.134,0.268,-84,
5/28/2012 6:30 PM,-96,0.134,0.268,-86,
5/28/2012 7:00 PM,-97,0.134,0.267,-85,
5/28/2012 7:30 PM,-97,0.134,0.267,-86,
5/28/2012 8:00 PM,-96,0.134,0.267,-86,
5/28/2012 8:30 PM,-97,0.134,0.266,-86,
5/28/2012 9:00 PM,-97,0.134,0.266,-86,
5/28/2012 9:30 PM,-97,0.134,0.265,-86,
5/28/2012 10:00 PM,-97,0.134,0.265,-86,
5/28/2012 10:30 PM,-97,0.134,0.264,-86,
5/28/2012 11:00 PM,-98,0.134,0.264,-86,
5/28/2012 11:30 PM,-98,0.134,0.264,-86,
5/29/2012 12:00 AM,-97,0.133,0.264,-87,
5/29/2012 12:30 AM,-98,0.133,0.264,-86,
5/29/2012 1:00 AM,-98,0.133,0.264,-86,
5/29/2012 1:30 AM,-98,0.133,0.264,-86,
5/29/2012 2:00 AM,-97,0.133,0.264,-86,
5/29/2012 2:30 AM,-98,0.133,0.264,-87,
5/29/2012 3:00 AM,-99,0.133,0.263,-87,
5/29/2012 3:30 AM,-97,0.133,0.263,-87,
5/29/2012 4:00 AM,-98,0.133,0.262,-87,
5/29/2012 4:30 AM,-98,0.133,0.262,-87,
5/29/2012 5:00 AM,-98,0.133,0.262,-87,
5/29/2012 5:30 AM,-99,0.133,0.261,-87,
5/29/2012 6:00 AM,-98,0.133,0.261,-88,
5/29/2012 6:30 AM,-99,0.133,0.261,-87,
5/29/2012 7:00 AM,-99,0.133,0.260,-88,
5/29/2012 7:30 AM,-99,0.132,0.260,-88,
5/29/2012 8:00 AM,-99,0.132,0.260,-88,
5/29/2012 8:30 AM,-99,0.132,0.260,-88,
5/29/2012 9:00 AM,-100,0.132,0.259,-88,
