Measurement Time,m³/m³ VWC,m³/m³ VWC,kPa Potential,°C Temp,kPa Potential,°C Temp,None
4/4/2014 6:00 PM,#N/A,-0.212,-365.2,5.7,#N/A,#N/A,
4/4/2014 7:00 PM,0.048,0.102,-796.4,12.5,#N/A,#N/A,
4/4/2014 8:00 PM,0.048,0.103,-803.4,12.7,#N/A,#N/A,
4/4/2014 9:00 PM,0.048,0.102,-809.5,12.8,#N/A,#N/A,
4/4/2014 10:00 PM,0.049,0.103,-825.9,12.8,#N/A,#N/A,
4/4/2014 11:00 PM,0.049,0.103,-845.3,12.7,#N/A,#N/A,
4/5/2014 12:00 AM,0.048,0.103,-859.7,12.6,#N/A,#N/A,
4/5/2014 1:00 AM,0.048,0.103,-877.7,12.4,#N/A,#N/A,
4/5/2014 2:00 AM,0.049,0.103,-900.2,12.3,#N/A,#N/A,
4/5/2014 3:00 AM,0.049,0.102,-927.1,12.2,#N/A,#N/A,
4/5/2014 4:00 AM,0.049,0.102,-957.0,12.0,#N/A,#N/A,
4/5/2014 5:00 AM,0.048,0.102,-985.0,11.9,#N/A,#N/A,
4/5/2014 6:00 AM,0.048,0.102,-1002.8,11.9,#N/A,#N/A,
4/5/2014 7:00 AM,0.048,0.102,-1019.8,11.8,#N/A,#N/A,
4/5/2014 8:00 AM,0.048,0.101,-1035.2,11.7,#N/A,#N/A,
4/5/2014 9:00 AM,0.048,0.101,-1064.7,11.7,#N/A,#N/A,
4/5/2014 10:00 AM,0.048,0.101,-1090.8,11.6,#N/A,#N/A,
4/5/2014 11:00 AM,0.048,0.101,-1120.0,11.5,#N/A,#N/A,
4/5/2014 12:00 PM,0.048,0.101,-1145.1,11.5,#N/A,#N/A,
4/5/2014 1:00 PM,0.048,0.101,-1159.4,11.6,#N/A,#N/A,
4/5/2014 2:00 PM,0.048,0.101,-1166.9,11.8,#N/A,#N/A,
4/5/2014 3:00 PM,0.048,0.101,-1155.1,12.1,#N/A,#N/A,
4/5/2014 4:00 PM,0.049,0.101,-1133.5,12.4,#N/A,#N/A,
4/5/2014 5:00 PM,0.049,0.102,-1131.2,12.7,#N/A,#N/A,
4/5/2014 6:00 PM,0.048,0.103,-1116.7,12.9,#N/A,#N/A,
4/5/2014 7:00 PM,0.049,0.103,-1120.8,13.1,#N/A,#N/A,
4/5/2014 8:00 PM,0.049,0.103,-1117.2,13.3,#N/A,#N/A,
4/5/2014 9:00 PM,0.049,0.103,-1138.2,13.4,#N/A,#N/A,
4/5/2014 10:00 PM,0.049,0.103,-1159.4,13.4,#N/A,#N/A,
4/5/2014 11:00 PM,0.049,0.103,-1190.2,13.4,#N/A,#N/A,
4/6/2014 12:00 AM,0.049,0.103,-1210.9,13.2,#N/A,#N/A,
4/6/2014 1:00 AM,0.049,0.103,-1233.7,13.0,#N/A,#N/A,
4/6/2014 2:00 AM,0.049,0.102,-1286.5,12.8,#N/A,#N/A,
4/6/2014 3:00 AM,0.049,0.102,-1335.8,12.6,#N/A,#N/A,
4/6/2014 4:00 AM,0.048,0.102,-1412.0,12.3,#N/A,#N/A,
4/6/2014 5:00 AM,0.048,0.102,-1464.3,12.1,#N/A,#N/A,
4/6/2014 6:00 AM,0.048,0.102,-1516.1,11.9,#N/A,#N/A,
4/6/2014 7:00 AM,0.048,0.101,-1576.6,11.7,#N/A,#N/A,
4/6/2014 8:00 AM,0.048,0.101,-1659.3,11.5,#N/A,#N/A,
4/6/2014 9:00 AM,0.047,0.101,-1750.4,11.3,#N/A,#N/A,
4/6/2014 10:00 AM,0.047,0.101,-1818.1,11.1,#N/A,#N/A,
4/6/2014 11:00 AM,0.047,0.101,-1878.1,11.0,#N/A,#N/A,
4/6/2014 12:00 PM,0.048,0.101,-1918.8,11.0,#N/A,#N/A,
4/6/2014 1:00 PM,0.047,0.101,-1917.5,11.1,#N/A,#N/A,
4/6/2014 2:00 PM,0.047,0.101,-1912.2,11.4,#N/A,#N/A,
4/6/2014 3:00 PM,0.048,0.101,-1872.1,11.7,#N/A,#N/A,
4/6/2014 4:00 PM,0.047,0.101,-1854.5,12.0,#N/A,#N/A,
4/6/2014 5:00 PM,0.047,0.101,-1819.8,12.3,#N/A,#N/A,
4/6/2014 6:00 PM,0.048,0.101,-1802.7,12.5,#N/A,#N/A,
4/6/2014 7:00 PM,0.048,0.101,-1816.9,12.6,#N/A,#N/A,
4/6/2014 8:00 PM,0.048,0.101,-1821.9,12.7,#N/A,#N/A,
4/6/2014 9:00 PM,0.048,0.102,-1850.2,12.8,#N/A,#N/A,
4/6/2014 10:00 PM,0.048,0.101,-1868.6,12.8,#N/A,#N/A,
4/6/2014 11:00 PM,0.048,0.101,-1931.2,12.7,#N/A,#N/A,
4/7/2014 12:00 AM,0.048,0.101,-1999.5,12.5,#N/A,#N/A,
4/7/2014 1:00 AM,0.048,0.101,-2115.6,12.3,#N/A,#N/A,
4/7/2014 2:00 AM,0.048,0.101,-2281.0,12.1,#N/A,#N/A,
4/7/2014 3:00 AM,0.047,0.101,-2401.2,11.8,#N/A,#N/A,
4/7/2014 4:00 AM,0.047,0.101,-2488.4,11.6,#N/A,#N/A,
4/7/2014 5:00 AM,0.047,0.101,-2535.3,11.4,#N/A,#N/A,
4/7/2014 6:00 AM,0.047,0.101,-2629.2,11.3,#N/A,#N/A,
4/7/2014 7:00 AM,0.047,0.100,-2792.7,11.1,#N/A,#N/A,
4/7/2014 8:00 AM,0.047,0.100,-2985.6,11.0,#N/A,#N/A,
4/7/2014 9:00 AM,0.047,0.100,-3126.3,10.8,#N/A,#N/A,
4/7/2014 10:00 AM,0.047,0.100,-3288.0,10.6,#N/A,#N/A,
