Measurement Time,m³/m³ VWC,m³/m³ VWC,kPa Potential,°C Temp,kPa Potential,°C Temp,None
26 Jun 2013 9:00 AM,0.179,0.330,-5.4,21.7,-5.4,20.6,
26 Jun 2013 10:00 AM,0.179,0.329,-5.4,21.5,-5.4,20.4,
26 Jun 2013 11:00 AM,0.178,0.328,-5.4,21.6,-5.4,20.4,
26 Jun 2013 12:00 PM,0.178,0.327,-5.4,21.8,-5.4,20.4,
26 Jun 2013 1:00 PM,0.176,0.326,-5.4,22.1,-5.4,20.6,
26 Jun 2013 2:00 PM,0.175,0.324,-5.4,22.6,-5.4,20.8,
26 Jun 2013 3:00 PM,0.174,0.322,-5.4,23.7,-5.4,20.9,
26 Jun 2013 4:00 PM,0.173,0.321,-5.4,24.9,-5.4,21.1,
26 Jun 2013 5:00 PM,0.172,0.320,-5.4,25.5,-5.4,21.4,
26 Jun 2013 6:00 PM,0.171,0.319,-5.4,25.8,-5.4,21.7,
26 Jun 2013 7:00 PM,0.169,0.317,-5.4,25.8,-5.4,22.1,
26 Jun 2013 8:00 PM,0.168,0.317,-5.4,25.6,-5.4,22.4,
26 Jun 2013 9:00 PM,0.168,0.317,-5.4,25.5,-5.4,22.5,
26 Jun 2013 10:00 PM,0.168,0.316,-5.4,25.3,-5.4,22.6,
26 Jun 2013 11:00 PM,0.166,0.315,-5.4,25.0,-5.4,22.5,
27 Jun 2013 12:00 AM,0.166,0.315,-5.4,24.6,-5.4,22.4,
27 Jun 2013 1:00 AM,0.165,0.314,-5.4,24.3,-5.4,22.3,
27 Jun 2013 2:00 AM,0.164,0.314,-5.4,24.0,-5.4,22.1,
27 Jun 2013 3:00 AM,0.164,0.314,-5.5,23.6,-5.4,22.0,
27 Jun 2013 4:00 AM,0.164,0.314,-5.5,23.2,-5.4,21.8,
27 Jun 2013 5:00 AM,0.163,0.314,-5.5,22.9,-5.4,21.6,
27 Jun 2013 6:00 AM,0.162,0.314,-5.5,22.5,-5.4,21.4,
27 Jun 2013 7:00 AM,0.162,0.314,-5.5,22.2,-5.4,21.2,
27 Jun 2013 8:00 AM,0.162,0.313,-5.5,21.9,-5.4,21.0,
27 Jun 2013 9:00 AM,0.162,0.312,-5.5,21.6,-5.4,20.7,
27 Jun 2013 10:00 AM,0.161,0.312,-5.5,21.4,-5.4,20.6,
27 Jun 2013 11:00 AM,0.161,0.311,-5.5,21.5,-5.4,20.5,
27 Jun 2013 12:00 PM,0.161,0.310,-5.5,21.8,-5.4,20.5,
27 Jun 2013 1:00 PM,0.160,0.309,-5.5,22.2,-5.4,20.7,
27 Jun 2013 2:00 PM,0.159,0.307,-5.5,22.8,-5.4,20.9,
27 Jun 2013 3:00 PM,0.158,0.305,-5.6,24.0,-5.4,21.2,
27 Jun 2013 4:00 PM,0.157,0.304,-5.6,25.0,-5.4,21.4,
27 Jun 2013 5:00 PM,0.157,0.304,-5.6,25.5,-5.4,21.6,
27 Jun 2013 6:00 PM,0.156,0.302,-5.6,25.7,-5.4,21.9,
27 Jun 2013 7:00 PM,0.156,0.302,-5.7,25.5,-5.4,22.0,
27 Jun 2013 8:00 PM,0.155,0.300,-5.7,25.2,-5.4,22.1,
27 Jun 2013 9:00 PM,0.154,0.300,-5.8,25.0,-5.4,22.1,
