Measurement Time,kPa Potential,m³/m³ VWC,m³/m³ VWC,kPa Potential,None
5/24/2013 10:00 AM,-325,0.074,0.116,-66,
5/24/2013 11:00 AM,-329,0.075,0.116,-67,
5/24/2013 12:00 PM,-329,0.076,0.115,-68,
5/24/2013 1:00 PM,-332,0.077,0.115,-69,
5/24/2013 2:00 PM,-335,0.077,0.115,-69,
5/24/2013 3:00 PM,-335,0.079,0.116,-70,
5/24/2013 4:00 PM,-335,0.080,0.116,-71,
5/24/2013 5:00 PM,-335,0.081,0.117,-71,
5/24/2013 6:00 PM,-335,0.082,0.117,-71,
5/24/2013 7:00 PM,-338,0.083,0.117,-71,
5/24/2013 8:00 PM,-342,0.083,0.117,-71,
5/24/2013 9:00 PM,-342,0.083,0.117,-72,
5/24/2013 10:00 PM,-342,0.083,0.117,-72,
5/24/2013 11:00 PM,-345,0.083,0.117,-73,
5/25/2013 12:00 AM,-345,0.083,0.118,-74,
5/25/2013 1:00 AM,-349,0.083,0.117,-74,
5/25/2013 2:00 AM,-349,0.083,0.117,-76,
5/25/2013 3:00 AM,-349,0.083,0.118,-76,
5/25/2013 4:00 AM,-352,0.083,0.118,-77,
5/25/2013 5:00 AM,-352,0.083,0.117,-77,
5/25/2013 6:00 AM,-352,0.083,0.117,-78,
5/25/2013 7:00 AM,-356,0.083,0.117,-79,
5/25/2013 8:00 AM,-356,0.083,0.117,-80,
5/25/2013 9:00 AM,-356,0.083,0.117,-80,
5/25/2013 10:00 AM,-356,0.083,0.117,-80,
5/25/2013 11:00 AM,-359,0.083,0.117,-80,
5/25/2013 12:00 PM,-359,0.084,0.117,-82,
5/25/2013 1:00 PM,-359,0.084,0.117,-82,
5/25/2013 2:00 PM,-363,0.084,0.117,-82,
5/25/2013 3:00 PM,-363,0.084,0.117,-82,
5/25/2013 4:00 PM,-359,0.085,0.117,-82,
5/25/2013 5:00 PM,-359,0.086,0.117,-82,
5/25/2013 6:00 PM,-363,0.086,0.118,-82,
5/25/2013 7:00 PM,-363,0.086,0.118,-82,
5/25/2013 8:00 PM,-366,0.086,0.118,-82,
5/25/2013 9:00 PM,-366,0.086,0.118,-82,
5/25/2013 10:00 PM,-370,0.086,0.118,-83,
5/25/2013 11:00 PM,-370,0.086,0.118,-83,
5/26/2013 12:00 AM,-370,0.091,0.123,-55,
