Measurement Time,kPa Potential,m³/m³ VWC,m³/m³ VWC,kPa Potential,None
25 Jun 2013 10:00 AM,-212,0.120,0.169,-25,
25 Jun 2013 11:00 AM,-214,0.120,0.169,-124,
25 Jun 2013 12:00 PM,-218,0.121,-0.133,#N/A,
25 Jun 2013 1:00 PM,-222,0.121,#N/A,#N/A,
25 Jun 2013 2:00 PM,-226,0.122,#N/A,-55,
25 Jun 2013 3:00 PM,-230,0.123,#N/A,-26,
25 Jun 2013 4:00 PM,-235,0.123,#N/A,-27,
25 Jun 2013 5:00 PM,-237,0.123,#N/A,-27,
25 Jun 2013 6:00 PM,-239,0.123,#N/A,-28,
25 Jun 2013 7:00 PM,-246,0.123,#N/A,-28,
25 Jun 2013 8:00 PM,-246,0.123,#N/A,-29,
25 Jun 2013 9:00 PM,-248,0.123,#N/A,-29,
25 Jun 2013 10:00 PM,-248,0.122,#N/A,-30,
25 Jun 2013 11:00 PM,-248,0.122,#N/A,-31,
26 Jun 2013 12:00 AM,-248,0.121,#N/A,-31,
26 Jun 2013 1:00 AM,-248,0.120,#N/A,-32,
26 Jun 2013 2:00 AM,-248,0.120,#N/A,-33,
26 Jun 2013 3:00 AM,-248,0.119,#N/A,-34,
26 Jun 2013 4:00 AM,-248,0.119,#N/A,-35,
26 Jun 2013 5:00 AM,-248,0.118,#N/A,-36,
26 Jun 2013 6:00 AM,-246,0.118,#N/A,-37,
26 Jun 2013 7:00 AM,-246,0.117,#N/A,-37,
26 Jun 2013 8:00 AM,-246,0.117,#N/A,-38,
26 Jun 2013 9:00 AM,-248,0.117,#N/A,-39,
26 Jun 2013 10:00 AM,-248,0.117,#N/A,-40,
26 Jun 2013 11:00 AM,-253,0.117,#N/A,-41,
26 Jun 2013 12:00 PM,-256,0.117,#N/A,-42,
26 Jun 2013 1:00 PM,-261,0.116,#N/A,-43,
26 Jun 2013 2:00 PM,-263,0.117,#N/A,-43,
26 Jun 2013 3:00 PM,-266,0.117,#N/A,-44,
26 Jun 2013 4:00 PM,-271,0.118,#N/A,-44,
26 Jun 2013 5:00 PM,-273,0.118,#N/A,-45,
26 Jun 2013 6:00 PM,-279,0.118,#N/A,-46,
26 Jun 2013 7:00 PM,-281,0.118,#N/A,-46,
26 Jun 2013 8:00 PM,-287,0.118,#N/A,-47,
26 Jun 2013 9:00 PM,-287,0.117,#N/A,-48,
26 Jun 2013 10:00 PM,-290,0.117,#N/A,-49,
26 Jun 2013 11:00 PM,-292,0.117,#N/A,-51,
27 Jun 2013 12:00 AM,-292,0.116,#N/A,-52,
27 Jun 2013 1:00 AM,-292,0.116,#N/A,-52,
27 Jun 2013 2:00 AM,-292,0.115,#N/A,-53,
27 Jun 2013 3:00 AM,-295,0.114,#N/A,-54,
27 Jun 2013 4:00 AM,-295,0.114,#N/A,-55,
27 Jun 2013 5:00 AM,-295,0.113,#N/A,-56,
27 Jun 2013 6:00 AM,-298,0.113,#N/A,-57,
27 Jun 2013 7:00 AM,-298,0.112,#N/A,-57,
27 Jun 2013 8:00 AM,-301,0.112,#N/A,-58,
27 Jun 2013 9:00 AM,-298,0.111,#N/A,-59,
27 Jun 2013 10:00 AM,-301,0.111,#N/A,-60,
27 Jun 2013 11:00 AM,-304,0.111,#N/A,-60,
27 Jun 2013 12:00 PM,-307,0.111,#N/A,-61,
27 Jun 2013 1:00 PM,-310,0.111,#N/A,-61,
27 Jun 2013 2:00 PM,-310,0.111,#N/A,-62,
27 Jun 2013 3:00 PM,-316,0.111,#N/A,-62,
27 Jun 2013 4:00 PM,-319,0.112,#N/A,-63,
27 Jun 2013 5:00 PM,-322,0.112,#N/A,-63,
27 Jun 2013 6:00 PM,-329,0.111,#N/A,-26,
27 Jun 2013 7:00 PM,-329,0.111,#N/A,-17,
27 Jun 2013 8:00 PM,-329,0.111,#N/A,-17,
27 Jun 2013 9:00 PM,-332,0.110,#N/A,-17,
27 Jun 2013 10:00 PM,-332,0.110,#N/A,-17,
27 Jun 2013 11:00 PM,-335,0.110,#N/A,-17,
28 Jun 2013 12:00 AM,-335,0.109,#N/A,-17,
28 Jun 2013 1:00 AM,-338,0.109,#N/A,-18,
28 Jun 2013 2:00 AM,-338,0.108,#N/A,-18,
28 Jun 2013 3:00 AM,-342,0.108,#N/A,-19,
28 Jun 2013 4:00 AM,-342,0.107,#N/A,-19,
28 Jun 2013 5:00 AM,-345,0.107,#N/A,-20,
28 Jun 2013 6:00 AM,-345,0.107,#N/A,-21,
28 Jun 2013 7:00 AM,-349,0.106,#N/A,-21,
28 Jun 2013 8:00 AM,-345,0.106,#N/A,-22,
28 Jun 2013 9:00 AM,-349,0.106,#N/A,-23,
28 Jun 2013 10:00 AM,-349,0.106,#N/A,-24,
28 Jun 2013 11:00 AM,-356,0.106,#N/A,-24,
28 Jun 2013 12:00 PM,-356,0.106,#N/A,-25,
28 Jun 2013 1:00 PM,-356,0.107,#N/A,-25,
28 Jun 2013 2:00 PM,-359,0.108,#N/A,-26,
28 Jun 2013 3:00 PM,-363,0.109,#N/A,-26,
28 Jun 2013 4:00 PM,-363,0.110,#N/A,-27,
28 Jun 2013 5:00 PM,-366,0.111,#N/A,-28,
28 Jun 2013 6:00 PM,-366,0.111,#N/A,-28,
28 Jun 2013 7:00 PM,-366,0.111,#N/A,-29,
28 Jun 2013 8:00 PM,-374,0.111,#N/A,-30,
28 Jun 2013 9:00 PM,-374,0.111,#N/A,-31,
28 Jun 2013 10:00 PM,-378,0.111,#N/A,-32,
28 Jun 2013 11:00 PM,-374,0.111,#N/A,-33,
29 Jun 2013 12:00 AM,-378,0.110,#N/A,-35,
29 Jun 2013 1:00 AM,-378,0.109,#N/A,-36,
29 Jun 2013 2:00 AM,-381,0.109,#N/A,-37,
29 Jun 2013 3:00 AM,-381,0.108,#N/A,-38,
29 Jun 2013 4:00 AM,-381,0.108,#N/A,-39,
29 Jun 2013 5:00 AM,-385,0.107,#N/A,-41,
29 Jun 2013 6:00 AM,-385,0.107,#N/A,-41,
29 Jun 2013 7:00 AM,-389,0.107,#N/A,-43,
29 Jun 2013 8:00 AM,-389,0.106,#N/A,-44,
29 Jun 2013 9:00 AM,-389,0.106,#N/A,-46,
29 Jun 2013 10:00 AM,-389,0.106,#N/A,-47,
29 Jun 2013 11:00 AM,-389,0.106,#N/A,-48,
29 Jun 2013 12:00 PM,-389,0.106,#N/A,-48,
29 Jun 2013 1:00 PM,-389,0.106,#N/A,-49,
29 Jun 2013 2:00 PM,-393,0.107,#N/A,-50,
29 Jun 2013 3:00 PM,-393,0.108,#N/A,-51,
29 Jun 2013 4:00 PM,-393,0.109,#N/A,-52,
29 Jun 2013 5:00 PM,-393,0.110,#N/A,-52,
29 Jun 2013 6:00 PM,-397,0.110,#N/A,-53,
29 Jun 2013 7:00 PM,-397,0.110,#N/A,-54,
29 Jun 2013 8:00 PM,-401,0.107,#N/A,-55,
29 Jun 2013 9:00 PM,-401,0.109,#N/A,-56,
29 Jun 2013 10:00 PM,-405,0.109,#N/A,-57,
29 Jun 2013 11:00 PM,-405,0.109,#N/A,-59,
30 Jun 2013 12:00 AM,-405,0.109,#N/A,-59,
30 Jun 2013 1:00 AM,-409,0.108,#N/A,-61,
30 Jun 2013 2:00 AM,-409,0.108,#N/A,-62,
30 Jun 2013 3:00 AM,-413,0.107,#N/A,-63,
30 Jun 2013 4:00 AM,-413,0.107,#N/A,-64,
30 Jun 2013 5:00 AM,-413,0.106,#N/A,-64,
30 Jun 2013 6:00 AM,-413,0.106,#N/A,-66,
30 Jun 2013 7:00 AM,-418,0.105,#N/A,-66,
30 Jun 2013 8:00 AM,-418,0.105,#N/A,-67,
30 Jun 2013 9:00 AM,-418,0.105,#N/A,-67,
30 Jun 2013 10:00 AM,-422,0.105,#N/A,-68,
30 Jun 2013 11:00 AM,-422,0.105,#N/A,-69,
