Measurement Time,kPa Potential,m³/m³ VWC,kPa Potential,m³/m³ VWC,None
3/30/2013 5:00 PM,-397,0.111,-261,0.113,
3/30/2013 6:00 PM,-389,0.112,-261,0.114,
3/30/2013 7:00 PM,-389,0.112,-261,0.115,
3/30/2013 8:00 PM,-389,0.112,-261,0.115,
3/30/2013 9:00 PM,-389,0.112,-263,0.115,
3/30/2013 10:00 PM,-389,0.111,-263,0.115,
3/30/2013 11:00 PM,-389,0.111,-263,0.115,
3/31/2013 12:00 AM,-393,0.111,-266,0.115,
3/31/2013 1:00 AM,-393,0.111,-266,0.115,
3/31/2013 2:00 AM,-393,0.110,-268,0.115,
3/31/2013 3:00 AM,-393,0.110,-268,0.115,
3/31/2013 4:00 AM,-393,0.109,-268,0.114,
3/31/2013 5:00 AM,-393,0.108,-271,0.114,
3/31/2013 6:00 AM,-397,0.108,-268,0.114,
3/31/2013 7:00 AM,-397,0.108,-268,0.114,
3/31/2013 8:00 AM,-401,0.108,-271,0.113,
3/31/2013 9:00 AM,-397,0.107,-271,0.113,
3/31/2013 10:00 AM,-397,0.108,-268,0.113,
3/31/2013 11:00 AM,-393,0.108,-266,0.113,
3/31/2013 12:00 PM,-389,0.108,-266,0.113,
3/31/2013 1:00 PM,-385,0.108,-261,0.113,
3/31/2013 2:00 PM,-389,0.109,-261,0.114,
3/31/2013 3:00 PM,-393,0.111,-261,0.114,
3/31/2013 4:00 PM,-389,0.111,-258,0.114,
3/31/2013 5:00 PM,-385,0.113,-261,0.115,
3/31/2013 6:00 PM,-381,0.114,-258,0.115,
3/31/2013 7:00 PM,-385,0.114,-258,0.115,
3/31/2013 8:00 PM,-385,0.114,-258,0.116,
3/31/2013 9:00 PM,-385,0.113,-261,0.116,
3/31/2013 10:00 PM,-385,0.113,-263,0.116,
3/31/2013 11:00 PM,-385,0.111,-263,0.115,
4/1/2013 12:00 AM,-389,0.111,-263,0.115,
4/1/2013 1:00 AM,-389,0.111,-266,0.115,
4/1/2013 2:00 AM,-389,0.110,-268,0.115,
4/1/2013 3:00 AM,-389,0.110,-268,0.115,
4/1/2013 4:00 AM,-393,0.109,-268,0.115,
4/1/2013 5:00 AM,-397,0.108,-271,0.114,
4/1/2013 6:00 AM,-397,0.108,-268,0.114,
4/1/2013 7:00 AM,-397,0.108,-268,0.114,
4/1/2013 8:00 AM,-397,0.107,-273,0.113,
4/1/2013 9:00 AM,-401,0.106,-273,0.113,
4/1/2013 10:00 AM,-397,0.107,-271,0.113,
4/1/2013 11:00 AM,-389,0.107,-271,0.113,
4/1/2013 12:00 PM,-389,0.107,-268,0.113,
4/1/2013 1:00 PM,-385,0.108,-263,0.113,
4/1/2013 2:00 PM,-385,0.109,-261,0.113,
4/1/2013 3:00 PM,-385,0.111,-258,0.114,
4/1/2013 4:00 PM,-385,0.111,-256,0.114,
4/1/2013 5:00 PM,-381,0.113,-256,0.115,
4/1/2013 6:00 PM,-378,0.113,-256,0.115,
4/1/2013 7:00 PM,-381,0.114,-256,0.115,
4/1/2013 8:00 PM,-381,0.114,-256,0.115,
4/1/2013 9:00 PM,-385,0.113,-256,0.115,
4/1/2013 10:00 PM,-381,0.113,-261,0.115,
4/1/2013 11:00 PM,-385,0.112,-261,0.116,
4/2/2013 12:00 AM,-381,0.111,-261,0.116,
4/2/2013 1:00 AM,-385,0.111,-261,0.115,
4/2/2013 2:00 AM,-389,0.111,-266,0.115,
4/2/2013 3:00 AM,-389,0.110,-266,0.115,
4/2/2013 4:00 AM,-389,0.110,-268,0.115,
4/2/2013 5:00 AM,-393,0.109,-268,0.115,
4/2/2013 6:00 AM,-393,0.108,-268,0.115,
4/2/2013 7:00 AM,-393,0.108,-268,0.114,
4/2/2013 8:00 AM,-397,0.108,-271,0.114,
4/2/2013 9:00 AM,-393,0.107,-271,0.113,
4/2/2013 10:00 AM,-393,0.107,-268,0.113,
4/2/2013 11:00 AM,-393,0.107,-268,0.113,
4/2/2013 12:00 PM,-389,0.107,-266,0.113,
4/2/2013 1:00 PM,-389,0.108,-263,0.113,
4/2/2013 2:00 PM,-389,0.108,-263,0.113,
4/2/2013 3:00 PM,-389,0.109,-261,0.114,
4/2/2013 4:00 PM,-385,0.110,-261,0.114,
4/2/2013 5:00 PM,-381,0.111,-258,0.114,
4/2/2013 6:00 PM,-381,0.111,-261,0.115,
4/2/2013 7:00 PM,-385,0.111,-261,0.115,
4/2/2013 8:00 PM,-381,0.111,-263,0.115,
4/2/2013 9:00 PM,-385,0.111,-263,0.115,
4/2/2013 10:00 PM,-385,0.111,-263,0.115,
4/2/2013 11:00 PM,-385,0.110,-266,0.115,
4/3/2013 12:00 AM,-389,0.110,-266,0.115,
4/3/2013 1:00 AM,-389,0.109,-268,0.115,
4/3/2013 2:00 AM,-389,0.108,-271,0.115,
4/3/2013 3:00 AM,-393,0.108,-268,0.114,
4/3/2013 4:00 AM,-393,0.108,-271,0.114,
4/3/2013 5:00 AM,-397,0.107,-271,0.113,
4/3/2013 6:00 AM,-397,0.107,-271,0.113,
4/3/2013 7:00 AM,-397,0.106,-273,0.113,
4/3/2013 8:00 AM,-401,0.106,-273,0.113,
4/3/2013 9:00 AM,-401,0.105,-276,0.112,
4/3/2013 10:00 AM,-401,0.105,-273,0.112,
4/3/2013 11:00 AM,-397,0.105,-273,0.112,
4/3/2013 12:00 PM,-389,0.105,-271,0.112,
4/3/2013 1:00 PM,-389,0.106,-271,0.112,
4/3/2013 2:00 PM,-393,0.107,-268,0.112,
4/3/2013 3:00 PM,-393,0.109,-263,0.112,
4/3/2013 4:00 PM,-389,0.111,-261,0.113,
4/3/2013 5:00 PM,-385,0.111,-261,0.113,
4/3/2013 6:00 PM,-381,0.111,-261,0.114,
4/3/2013 7:00 PM,-385,0.112,-263,0.114,
4/3/2013 8:00 PM,-389,0.112,-263,0.114,
4/3/2013 9:00 PM,-389,0.111,-266,0.114,
4/3/2013 10:00 PM,-389,0.111,-266,0.114,
4/3/2013 11:00 PM,-393,0.110,-268,0.114,
