Measurement Time,kPa Potential,m³/m³ VWC,kPa Potential,m³/m³ VWC,None
5/22/2013 11:00 AM,-385,0.101,-258,0.106,
5/22/2013 12:00 PM,-389,0.101,-258,0.106,
5/22/2013 1:00 PM,-381,0.103,-256,0.106,
5/22/2013 2:00 PM,-381,0.104,-256,0.106,
5/22/2013 3:00 PM,-381,0.105,-251,0.107,
5/22/2013 4:00 PM,-378,0.106,-248,0.108,
5/22/2013 5:00 PM,-374,0.108,-246,0.108,
5/22/2013 6:00 PM,-374,0.108,-244,0.109,
5/22/2013 7:00 PM,-370,0.108,-246,0.110,
5/22/2013 8:00 PM,-370,0.108,-246,0.110,
5/22/2013 9:00 PM,-374,0.108,-246,0.110,
5/22/2013 10:00 PM,-374,0.107,-251,0.110,
5/22/2013 11:00 PM,-374,0.106,-251,0.110,
5/23/2013 12:00 AM,-378,0.106,-253,0.110,
5/23/2013 1:00 AM,-378,0.105,-251,0.110,
5/23/2013 2:00 AM,-374,0.105,-253,0.110,
5/23/2013 3:00 AM,-378,0.105,-251,0.110,
5/23/2013 4:00 AM,-378,0.105,-251,0.109,
5/23/2013 5:00 AM,-378,0.104,-256,0.109,
5/23/2013 6:00 AM,-381,0.103,-253,0.109,
5/23/2013 7:00 AM,-381,0.103,-253,0.109,
5/23/2013 8:00 AM,-381,0.103,-253,0.109,
5/23/2013 9:00 AM,-378,0.102,-253,0.109,
5/23/2013 10:00 AM,-378,0.102,-251,0.108,
5/23/2013 11:00 AM,-378,0.103,-251,0.108,
5/23/2013 12:00 PM,-378,0.103,-251,0.108,
5/23/2013 1:00 PM,-374,0.105,-248,0.108,
5/23/2013 2:00 PM,-374,0.105,-248,0.108,
5/23/2013 3:00 PM,-374,0.107,-246,0.109,
5/23/2013 4:00 PM,-370,0.108,-246,0.109,
5/23/2013 5:00 PM,-370,0.109,-244,0.110,
5/23/2013 6:00 PM,-370,0.109,-244,0.110,
5/23/2013 7:00 PM,-370,0.108,-235,0.110,
5/23/2013 8:00 PM,-366,0.108,-226,0.110,
5/23/2013 9:00 PM,-363,0.108,-220,0.110,
5/23/2013 10:00 PM,-356,0.107,-222,0.110,
5/23/2013 11:00 PM,-349,0.277,-31,0.110,
5/24/2013 12:00 AM,-349,0.407,-12,0.110,
5/24/2013 1:00 AM,-356,0.400,-12,0.110,
5/24/2013 2:00 AM,-356,0.393,-12,0.110,
5/24/2013 3:00 AM,-359,0.385,-13,0.110,
5/24/2013 4:00 AM,-359,0.378,-14,0.109,
