Measurement Time,m³/m³ VWC,kPa Potential,°C Temp,kPa Potential,m³/m³ VWC,None
8/13/2013 1:00 PM,#N/A,-1675.8,19.2,-248,0.094,
8/13/2013 2:00 PM,#N/A,-1673.1,19.2,-246,0.094,
8/13/2013 3:00 PM,#N/A,-1652.4,19.4,-248,0.094,
8/13/2013 4:00 PM,#N/A,-1622.7,19.5,-248,0.094,
8/13/2013 5:00 PM,#N/A,-1589.4,19.7,-248,0.094,
8/13/2013 6:00 PM,#N/A,-1558.6,19.9,-251,0.094,
8/13/2013 7:00 PM,#N/A,-1528.7,20.0,-253,0.093,
8/13/2013 8:00 PM,#N/A,-1502.9,20.2,-253,0.093,
8/13/2013 9:00 PM,#N/A,-1490.8,20.3,-256,0.093,
8/13/2013 10:00 PM,#N/A,-1490.1,20.3,-256,0.093,
8/13/2013 11:00 PM,#N/A,-1486.4,20.3,-258,0.093,
8/14/2013 12:00 AM,#N/A,-1491.5,20.3,-258,0.093,
8/14/2013 1:00 AM,#N/A,-1490.8,20.3,-258,0.093,
8/14/2013 2:00 AM,#N/A,-1507.7,20.2,-261,0.093,
8/14/2013 3:00 AM,#N/A,-1521.3,20.2,-263,0.093,
8/14/2013 4:00 AM,#N/A,-1535.8,20.1,-266,0.093,
8/14/2013 5:00 AM,#N/A,-1557.1,20.0,-266,0.093,
8/14/2013 6:00 AM,#N/A,-1572.3,19.9,-268,0.093,
8/14/2013 7:00 AM,#N/A,-1597.8,19.9,-268,0.093,
8/14/2013 8:00 AM,#N/A,-1624.5,19.8,-268,0.093,
8/14/2013 9:00 AM,#N/A,-1638.8,19.7,-268,0.092,
8/14/2013 10:00 AM,#N/A,-1660.8,19.6,-271,0.092,
8/14/2013 11:00 AM,#N/A,-1685.1,19.5,-268,0.092,
8/14/2013 12:00 PM,#N/A,-1692.1,19.4,-273,0.092,
8/14/2013 1:00 PM,#N/A,-1705.4,19.4,-273,0.091,
8/14/2013 2:00 PM,#N/A,-1699.1,19.5,-273,0.091,
8/14/2013 3:00 PM,#N/A,-1690.2,19.6,-273,0.091,
8/14/2013 4:00 PM,#N/A,-1677.4,19.8,-276,0.091,
8/14/2013 5:00 PM,#N/A,-1654.7,19.9,-276,0.091,
8/14/2013 6:00 PM,#N/A,-1629.8,20.0,-279,0.091,
8/14/2013 7:00 PM,#N/A,-1608.5,20.2,-279,0.091,
8/14/2013 8:00 PM,#N/A,-1608.5,20.3,-281,0.091,
8/14/2013 9:00 PM,#N/A,-1623.4,20.4,-284,0.091,
8/14/2013 10:00 PM,#N/A,-1613.7,20.4,-284,0.091,
8/14/2013 11:00 PM,#N/A,-1631.6,20.5,-284,0.091,
8/15/2013 12:00 AM,#N/A,-1617.1,20.4,-287,0.091,
8/15/2013 1:00 AM,#N/A,-1593.4,20.4,-290,0.091,
8/15/2013 2:00 AM,#N/A,-1591.9,20.3,-290,0.091,
8/15/2013 3:00 AM,#N/A,-1618.2,20.3,-292,0.091,
8/15/2013 4:00 AM,#N/A,-1636.9,20.2,-292,0.090,
8/15/2013 5:00 AM,#N/A,-1657.0,20.1,-292,0.090,
8/15/2013 6:00 AM,#N/A,-1677.4,20.1,-295,0.090,
8/15/2013 7:00 AM,#N/A,-1685.5,20.0,-298,0.090,
8/15/2013 8:00 AM,#N/A,-1700.7,19.9,-298,0.089,
8/15/2013 9:00 AM,#N/A,-1713.7,19.8,-298,0.089,
8/15/2013 10:00 AM,#N/A,-1725.5,19.7,-298,0.089,
8/15/2013 11:00 AM,#N/A,-1740.3,19.7,-301,0.089,
8/15/2013 12:00 PM,#N/A,-1756.8,19.6,-301,0.089,
8/15/2013 1:00 PM,#N/A,-1763.3,19.6,-301,0.089,
8/15/2013 2:00 PM,#N/A,-1762.1,19.6,-304,0.089,
8/15/2013 3:00 PM,#N/A,-1759.2,19.7,-307,0.089,
8/15/2013 4:00 PM,#N/A,-1747.9,19.8,-307,0.089,
8/15/2013 5:00 PM,#N/A,-1747.1,19.8,-310,0.089,
8/15/2013 6:00 PM,#N/A,-1739.9,19.9,-307,0.089,
8/15/2013 7:00 PM,#N/A,-1737.9,19.9,-310,0.089,
8/15/2013 8:00 PM,#N/A,-1739.1,19.9,-313,0.089,
8/15/2013 9:00 PM,#N/A,-1745.9,19.9,-313,0.089,
8/15/2013 10:00 PM,#N/A,-1747.1,19.9,-313,0.089,
8/15/2013 11:00 PM,#N/A,-1741.5,19.9,-316,0.089,
8/16/2013 12:00 AM,#N/A,-1755.6,19.9,-316,0.089,
8/16/2013 1:00 AM,#N/A,-1758.0,19.9,-316,0.089,
8/16/2013 2:00 AM,#N/A,-1762.1,19.8,-319,0.089,
8/16/2013 3:00 AM,#N/A,-1771.0,19.8,-319,0.089,
8/16/2013 4:00 AM,#N/A,-1783.3,19.7,-322,0.089,
8/16/2013 5:00 AM,#N/A,-1787.0,19.7,-322,0.089,
8/16/2013 6:00 AM,#N/A,-1801.9,19.6,-325,0.089,
8/16/2013 7:00 AM,#N/A,-1803.5,19.6,-325,0.088,
8/16/2013 8:00 AM,#N/A,-1814.4,19.5,-325,0.088,
8/16/2013 9:00 AM,#N/A,-1825.7,19.4,-325,0.088,
8/16/2013 10:00 AM,#N/A,-1838.8,19.3,-325,0.088,
8/16/2013 11:00 AM,#N/A,-1850.2,19.3,-325,0.088,
8/16/2013 12:00 PM,#N/A,-1871.2,19.2,-325,0.088,
8/16/2013 1:00 PM,#N/A,-1881.2,19.2,-329,0.088,
8/16/2013 2:00 PM,#N/A,-1882.0,19.2,-329,0.088,
8/16/2013 3:00 PM,#N/A,-1869.1,19.3,-332,0.087,
8/16/2013 4:00 PM,#N/A,-1851.9,19.4,-332,0.087,
8/16/2013 5:00 PM,#N/A,-1843.4,19.5,-332,0.087,
8/16/2013 6:00 PM,#N/A,-1830.7,19.6,-332,0.087,
8/16/2013 7:00 PM,#N/A,-1825.3,19.6,-332,0.087,
8/16/2013 8:00 PM,#N/A,-1823.2,19.7,-335,0.087,
8/16/2013 9:00 PM,#N/A,-1817.7,19.7,-335,0.086,
8/16/2013 10:00 PM,#N/A,-1816.9,19.7,-338,0.086,
8/16/2013 11:00 PM,#N/A,-1812.7,19.7,-338,0.086,
8/17/2013 12:00 AM,#N/A,-1817.7,19.7,-338,0.086,
8/17/2013 1:00 AM,#N/A,-1826.5,19.7,-338,0.086,
8/17/2013 2:00 AM,#N/A,-1829.5,19.6,-342,0.086,
8/17/2013 3:00 AM,#N/A,-1847.7,19.6,-342,0.086,
8/17/2013 4:00 AM,#N/A,-1854.1,19.5,-342,0.086,
8/17/2013 5:00 AM,#N/A,-1867.4,19.4,-345,0.086,
8/17/2013 6:00 AM,#N/A,-1885.5,19.4,-345,0.086,
8/17/2013 7:00 AM,#N/A,-1906.9,19.3,-345,0.086,
8/17/2013 8:00 AM,#N/A,-1923.7,19.3,-349,0.086,
8/17/2013 9:00 AM,#N/A,-1940.6,19.2,-349,0.086,
8/17/2013 10:00 AM,#N/A,-1969.8,19.2,-349,0.086,
8/17/2013 11:00 AM,#N/A,-2001.4,19.1,-349,0.086,
8/17/2013 12:00 PM,#N/A,-2005.1,19.1,-345,0.086,
8/17/2013 1:00 PM,#N/A,-2020.8,19.1,-345,0.086,
8/17/2013 2:00 PM,#N/A,-2008.8,19.1,-349,0.085,
8/17/2013 3:00 PM,#N/A,-1963.5,19.2,-349,0.085,
8/17/2013 4:00 PM,#N/A,-1917.0,19.4,-349,0.085,
8/17/2013 5:00 PM,#N/A,-1867.8,19.6,-349,0.085,
8/17/2013 6:00 PM,#N/A,-1832.8,19.8,-349,0.086,
8/17/2013 7:00 PM,#N/A,-1812.7,20.0,-352,0.086,
8/17/2013 8:00 PM,#N/A,-1797.3,20.1,-352,0.085,
8/17/2013 9:00 PM,#N/A,-1783.7,20.2,-352,0.085,
8/17/2013 10:00 PM,#N/A,-1787.8,20.3,-356,0.085,
8/17/2013 11:00 PM,#N/A,-1787.8,20.3,-356,0.085,
8/18/2013 12:00 AM,#N/A,-1788.2,20.3,-356,0.085,
