Measurement Time,mm Precip,None,None,None,None
4/5/2014 1:00 PM,0.0,,,,
4/5/2014 2:00 PM,0.0,,,,
4/5/2014 3:00 PM,0.0,,,,
4/5/2014 4:00 PM,0.0,,,,
4/5/2014 5:00 PM,0.0,,,,
4/5/2014 6:00 PM,0.0,,,,
4/5/2014 7:00 PM,0.0,,,,
4/5/2014 8:00 PM,0.0,,,,
4/5/2014 9:00 PM,0.0,,,,
4/5/2014 10:00 PM,0.0,,,,
4/5/2014 11:00 PM,0.0,,,,
4/6/2014 12:00 AM,0.0,,,,
4/6/2014 1:00 AM,0.0,,,,
4/6/2014 2:00 AM,0.0,,,,
4/6/2014 3:00 AM,0.0,,,,
4/6/2014 4:00 AM,0.0,,,,
4/6/2014 5:00 AM,0.0,,,,
4/6/2014 6:00 AM,0.0,,,,
4/6/2014 7:00 AM,0.0,,,,
4/6/2014 8:00 AM,0.0,,,,
4/6/2014 9:00 AM,0.0,,,,
4/6/2014 10:00 AM,0.0,,,,
4/6/2014 11:00 AM,0.0,,,,
4/6/2014 12:00 PM,0.0,,,,
4/6/2014 1:00 PM,0.0,,,,
4/6/2014 2:00 PM,0.0,,,,
4/6/2014 3:00 PM,0.0,,,,
4/6/2014 4:00 PM,0.0,,,,
4/6/2014 5:00 PM,0.0,,,,
4/6/2014 6:00 PM,0.0,,,,
4/6/2014 7:00 PM,0.0,,,,
4/6/2014 8:00 PM,0.0,,,,
4/6/2014 9:00 PM,0.0,,,,
4/6/2014 10:00 PM,0.0,,,,
4/6/2014 11:00 PM,0.0,,,,
4/7/2014 12:00 AM,0.0,,,,
4/7/2014 1:00 AM,0.0,,,,
4/7/2014 2:00 AM,0.0,,,,
4/7/2014 3:00 AM,0.0,,,,
4/7/2014 4:00 AM,0.0,,,,
4/7/2014 5:00 AM,0.0,,,,
4/7/2014 6:00 AM,0.0,,,,
4/7/2014 7:00 AM,0.0,,,,
4/7/2014 8:00 AM,0.0,,,,
4/7/2014 9:00 AM,0.0,,,,
4/7/2014 10:00 AM,0.0,,,,
4/7/2014 11:00 AM,0.0,,,,
4/7/2014 12:00 PM,0.0,,,,
4/7/2014 1:00 PM,0.0,,,,
4/7/2014 2:00 PM,0.0,,,,
4/7/2014 3:00 PM,0.0,,,,
4/7/2014 4:00 PM,0.0,,,,
4/7/2014 5:00 PM,0.0,,,,
4/7/2014 6:00 PM,0.0,,,,
4/7/2014 7:00 PM,0.0,,,,
4/7/2014 8:00 PM,0.0,,,,
4/7/2014 9:00 PM,0.0,,,,
4/7/2014 10:00 PM,0.0,,,,
4/7/2014 11:00 PM,0.0,,,,
4/8/2014 12:00 AM,0.0,,,,
4/8/2014 1:00 AM,0.0,,,,
4/8/2014 2:00 AM,0.0,,,,
4/8/2014 3:00 AM,0.0,,,,
4/8/2014 4:00 AM,0.0,,,,
4/8/2014 5:00 AM,0.0,,,,
4/8/2014 6:00 AM,0.0,,,,
4/8/2014 7:00 AM,0.0,,,,
4/8/2014 8:00 AM,0.0,,,,
4/8/2014 9:00 AM,0.0,,,,
4/8/2014 10:00 AM,0.0,,,,
4/8/2014 11:00 AM,0.0,,,,
4/8/2014 12:00 PM,0.0,,,,
4/8/2014 1:00 PM,0.0,,,,
4/8/2014 2:00 PM,0.0,,,,
4/8/2014 3:00 PM,0.0,,,,
4/8/2014 4:00 PM,0.0,,,,
4/8/2014 5:00 PM,0.0,,,,
4/8/2014 6:00 PM,0.0,,,,
4/8/2014 7:00 PM,0.0,,,,
4/8/2014 8:00 PM,0.0,,,,
4/8/2014 9:00 PM,0.0,,,,
4/8/2014 10:00 PM,0.0,,,,
4/8/2014 11:00 PM,0.0,,,,
4/9/2014 12:00 AM,0.0,,,,
4/9/2014 1:00 AM,0.0,,,,
4/9/2014 2:00 AM,0.0,,,,
4/9/2014 3:00 AM,0.0,,,,
4/9/2014 4:00 AM,0.0,,,,
4/9/2014 5:00 AM,0.0,,,,
4/9/2014 6:00 AM,0.0,,,,
