"sensor","type","mtn","gone","pair","lat","lon","elev","specific_catchment.area","relelev_z","wetness","slope_degrees","relelev_l","ldist_tovalley","ruggedness","ldist_ridge","zdist_valley","radiation","relelev_watershed_minmax","MSD","PC1","PC2","PC3","PC4","PC5"
"BG030","T","DM",NA,"",30.64508,-104.15937,2230,30,361876,-5,89.99,-349,349,395890,0,514686,441647,0.62,1,-0.163446492264515,-0.203486288893059,-0.101962554798014,0.0330146609529071,0.102606995982009
"BG031","H","DM",NA,"BG031",30.64408,-104.16076,2243,90,223354,0,88.86,-290,374,1308,84,14288,2798820,0.34,0.7,-0.164154261499115,-0.196671916997,-0.0838572969073067,0.0180557038675151,0.0887909869207691
"BG041","H","DM",NA,"BG041",30.63955,-104.16196,2260,120,224155,0,88.85,-84,174,1294,90,5614,991654,0.34,0.5,-0.158946297262908,-0.162261580052631,-0.119811355761102,0.100617545318598,0.0708792430870564
"BG270","T","DM",NA,"",30.64007,-104.16238,2228,30,222400,0,88.39,-127,127,940,0,3859,1175450,0.34,0.5,-0.160773933883441,-0.10715746129466,-0.0940553976415541,0.294040347714042,0.0673711746831234
"CC220","T","DM",NA,"",30.69806,-104.12228,1825,480,179651,2,88.48,0,0,1034,369,0,2710230,0.29,0.65,-0.174121833961735,0.246480081619164,-0.197164087191102,-0.139539823231557,-0.111853024460555
"CC221","H","DM",NA,"CC221",30.69799,-104.12186,1891,60,90031.5,0,88.48,-90,120,994,30,205086,2641990,0.29,0.65,-0.174862046929454,0.250762772978552,-0.208685837403762,-0.144293405268694,-0.146786199354094
"CT022","T","DM",NA,"",30.65989,-104.16985,1964,60,196108,1,85.4,-18,60,335,42,905,2940990,0.31,0.75,-0.171733213422744,0.0660316821301812,0.297328597376256,0.0164977067115519,-0.0471683128354809
"CT023","H","DM",NA,"CT023",30.66555,-104.17407,2020,60,201752,-3,89.98,-139,169,176859,30,3343,2703450,0.38,0.45,-0.170381736702097,-0.115537502129324,0.125458419702763,-0.176034552619162,-0.113356758723837
"FT005","H","DM",NA,"FT005",30.67747,-104.13188,1870,60,186199,2,74.78,-397,439,98,42,211223,2193430,0.29,0.8,-0.179728334667209,0.112264537463246,0.10020586498826,-0.302792408675854,0.0408206800052004
"GN019","H","DM",NA,"GN019",30.657642,-104.166026,1949,30,193138,0,88.66,-102,102,1180,0,218166,1211050,0.3,0.6,-0.177918545513784,0.177500155937296,0.320805419141488,0.219218537093669,-0.00754891336747046
"GR012","T","DM",NA,"",30.64586,-104.17009,2109,30,210096,1,82.56,-242,242,265,0,4165,1482160,0.32,0.7,-0.169872020318436,-0.127519398019888,0.113981242879193,0.00376673734206997,-0.333543844164984
"GR017","H","DM",NA,"GR017",30.65199,-104.17125,1994,90,200066,1,87.78,0,0,687,60,0,2355330,0.31,0.55,-0.173563902965876,0.0839210978540548,0.254638749242458,0.279348120399002,-0.137193932782211
"GR020","T","DM",NA,"",30.64285,-104.16464,2181,90,220332,0,89.11,-84,144,1697,60,5478,1011680,0.34,0.5,-0.162646147808742,-0.185648575799136,-0.0810929934721556,-0.0129272283722199,0.0187626699104392
"GR036","T","DM",NA,"",30.64854,-104.17126,2058,90,102966,1,86.45,-127,187,425,60,3872,832465,0.32,0.65,-0.169800650879425,-0.107963585861361,0.0897805630565169,-0.0427298940555072,-0.13630995532317
"GR037","H","DM",NA,"GR037",30.64351,-104.16831,2154,360,215148,2,87.46,90,114,633,204,2917,1460060,0.33,0.45,-0.16655873165342,-0.140983044548917,0.0243845777743779,-0.0308682046925646,-0.108387523478749
"LG002","T","DM",NA,"",30.68344,-104.14295,1892,30,92483.5,-4,89.99,-30,30,148486,0,209990,1124960,0.18,0.65,-0.1702906358382,0.0969651880475805,-0.135651509613731,-0.144634680023462,0.0756337674596148
"LG003","H","DM",NA,"LG003",30.68349,-104.14254,1891,150,184865,-3,89.98,90,30,128532,120,209887,793556,0.21,0.65,-0.169328709953313,0.109532627801794,-0.0645895822043913,-0.128133773461478,0.0997670793864704
"LG024","T","DM",NA,"",30.67629,-104.16224,2037,60,203001,-4,89.99,-84,114,250340,30,2957,2702430,0.45,0.6,-0.168624250860485,-0.123761593656743,0.0492390652458748,-0.149317856718545,0.0875150154937001
"LG025","H","DM",NA,"LG025",30.67762,-104.16333,2025,210,202881,1,88.53,120,84,1010,204,2982,2797010,0.33,0.5,-0.170407870784926,-0.17512236141226,0.0409777442309667,-0.249862067309787,0.0152797304657449
"MD237","H","DM",NA,"MD237",30.66753,-104.15071,1891,240,-36966,4,77.03,150,0,191856,150,0,567,0.2,0,-0.175331280162344,0.223171183395361,0.159277054425718,-0.00455663957489247,0.393099616800357
"MD243","T","DM",NA,"",30.667647,-104.151104,1891,210,184693,-2,89.98,174,30,135741,204,221659,2520450,0.2,0.7,-0.173438982774573,0.182995197638443,0.148093133380038,-0.0392811232393806,0.389721054371403
"MD282","T","DM",NA,"",30.666545,-104.149587,1887,90,190887,0,89.19,-48,120,1839,72,227853,965179,0.3,0.65,-0.172272965857767,0.188271989575479,0.109335387588785,-0.0143419188152055,0.367984934208759
"MI006","T","DM",NA,"",30.70077,-104.11395,1791,60,175684,-3,89.96,0,0,78960,42,0,2706340,0.25,0.6,-0.174384160469634,0.317830178227194,-0.356481347024252,0.145630042565028,-0.18179023286065
"MI007","H","DM",NA,"MI007",30.70048,-104.11389,1799,840,175208,-1,89.98,0,0,111425,574,0,2689720,0.22,0.6,-0.175289155627179,0.330905948934083,-0.350287823257538,0.179829849609762,-0.162271431336778
"MI032","T","DM",NA,"",30.70531,-104.12057,1869,300,187305,2,88.29,0,0,867,344,0,2755590,0.3,0.75,-0.174954306339469,-0.0487520057104996,0.0416897419216553,-0.385023278916956,-0.0864792044047127
"MI034","T","DM",NA,"",30.69899,-104.11052,1834,150,183719,2,85.84,-307,427,360,120,231358,915916,0.29,0.55,-0.175441203495134,0.136976363424113,-0.0179955980980198,-0.228265997987542,-0.0697024885346203
"TC008","T","DM",NA,"",30.655422,-104.171362,1964,630,-25028,-1,89.98,0,0,172085,397,0,3042,0.18,0,-0.17803403355337,0.115937077721324,0.320193773180559,0.348895114034099,-0.120090679912594
"TC010","T","DM",NA,"",30.63901,-104.17912,2221,1110,223179,3,87.86,350,114,943,464,2509,1049100,0.34,0.5,-0.159445445536361,-0.101452529004976,-0.0769211191970382,0.131690897151026,-0.0672536768811149
"TC011","H","DM",NA,"TC011",30.6399,-104.17971,2210,10020,220670,6,87.51,814,0,986,814,0,1471300,0.34,0.5,-0.161177459093438,-0.106656956800528,-0.0442544739145058,0.0833327848645238,-0.11368686106979
"TC026","T","DM",NA,"",30.64748,-104.186631,2137,30,357009,-4,89.98,-30,30,395362,0,500497,1026280,0.61,1,-0.168794431526057,-0.100879311647038,0.0916131860943128,0.0039133751254739,-0.154021285952302
"TC027","H","DM",NA,"TC027",30.64793,-104.185981,2132,60,213501,-4,89.99,-42,72,250438,30,2604,2689220,0.47,0.5,-0.169391784650557,-0.190716156200245,-0.0391105184984635,-0.019630511743142,-0.0260041832656254
"TC028","T","DM",NA,"",30.64638,-104.17966,2074,360,203684,-1,89.96,0,0,80868,204,0,2710410,0.28,0.7,-0.170229274839877,-0.0610667293163126,0.107149789818128,0.0396474037149309,-0.208974692983197
"VR015","H","DM",NA,"VR015",30.641935,-104.164039,2256,30,226944,-4,89.98,-247,247,177634,0,12090,1472800,0.41,0.55,-0.161579241033927,-0.203386786805206,-0.126901997214927,0.0109304894049444,0.103609755907471
"VR038","T","DM",NA,"",30.63946,-104.16566,2358,30,236177,-5,89.99,-284,284,306288,0,14515,2432090,0.56,0.55,-0.15390564778253,-0.192217975559328,-0.163453728285369,0.120062005052774,0.215528523262688
"VR039","H","DM",NA,"VR039",30.63754,-104.16526,2406,30,239857,0,88.82,-326,326,1282,0,15562,1641480,0.36,0.65,-0.150396022943299,-0.160834057970303,-0.233202051868347,0.263556799653931,0.257262500162033
