"sensor","type","mtn","gone","pair","lat","lon","elev","specific_catchment.area","relelev_z","wetness","slope_degrees","relelev_l","ldist_tovalley","ruggedness","ldist_ridge","zdist_valley","radiation","relelev_watershed_minmax","MSD","PC1","PC2","PC3","PC4","PC5"
"BG030","T","DM",NA,"",30.64508,-104.15937,2230,30,361876,-5,89.99,-349,349,395890,0,514686,441647,0.62,1,-0.162863676177929,-0.0274800471541934,0.0317520800422175,0.0936685074998251,0.232416404764892
"BG031","H","DM",NA,"BG031",30.64408,-104.16076,2243,90,223354,0,88.86,-290,374,1308,84,14288,2798820,0.34,0.7,-0.143417231082612,-0.125347258146398,0.0589472996573094,-0.0573450972368444,0.173251866990968
"BG041","H","DM",NA,"BG041",30.63955,-104.16196,2260,120,224155,0,88.85,-84,174,1294,90,5614,991654,0.34,0.5,-0.194553038235569,0.317555604210418,-0.129382473431135,-0.0372261510652311,0.150435666713653
"BG270","T","DM",NA,"",30.64007,-104.16238,2228,30,222400,0,88.39,-127,127,940,0,3859,1175450,0.34,0.5,-0.18185675509849,0.218821591812676,0.0920595807828805,-0.118784543766257,0.200311052133232
"CC220","T","DM",NA,"",30.69806,-104.12228,1825,480,179651,2,88.48,0,0,1034,369,0,2710230,0.29,0.65,-0.157179994163721,-0.233250025031926,0.0552816843689404,0.0665577591471098,-0.198038435130926
"CC221","H","DM",NA,"CC221",30.69799,-104.12186,1891,60,90031.5,0,88.48,-90,120,994,30,205086,2641990,0.29,0.65,-0.156566778702278,-0.125725696878487,-0.00241932135360996,-0.0234370470217568,-0.203299945919099
"CT022","T","DM",NA,"",30.65989,-104.16985,1964,60,196108,1,85.4,-18,60,335,42,905,2940990,0.31,0.75,-0.16852931090063,-0.00847665928877285,0.0113080503687695,-0.213634397113182,-0.0191992250462326
"CT023","H","DM",NA,"CT023",30.66555,-104.17407,2020,60,201752,-3,89.98,-139,169,176859,30,3343,2703450,0.38,0.45,-0.151055238092908,-0.109353810371048,-0.165162397242249,0.107413356170005,-0.0532549374455227
"FT005","H","DM",NA,"FT005",30.67747,-104.13188,1870,60,186199,2,74.78,-397,439,98,42,211223,2193430,0.29,0.8,-0.161400616620707,-0.0384748501303313,0.0249549813089581,0.0255000817520743,-0.158909269978032
"GN019","H","DM",NA,"GN019",30.657642,-104.166026,1949,30,193138,0,88.66,-102,102,1180,0,218166,1211050,0.3,0.6,-0.16748832030973,0.00189571121146653,-0.365921625058735,0.131904636618618,-0.0392316484481275
"GR012","T","DM",NA,"",30.64586,-104.17009,2109,30,210096,1,82.56,-242,242,265,0,4165,1482160,0.32,0.7,-0.164027206021329,-0.0900489302783456,0.34551444202821,0.146714244221292,0.0710391992138512
"GR017","H","DM",NA,"GR017",30.65199,-104.17125,1994,90,200066,1,87.78,0,0,687,60,0,2355330,0.31,0.55,-0.165339080011152,-0.0434080229768073,-0.21493900317512,0.107976808454792,-0.053851399207926
"GR020","T","DM",NA,"",30.64285,-104.16464,2181,90,220332,0,89.11,-84,144,1697,60,5478,1011680,0.34,0.5,-0.189630018921316,0.180239929275739,0.376384009916473,0.0953166960911934,0.100654219889498
"GR036","T","DM",NA,"",30.64854,-104.17126,2058,90,102966,1,86.45,-127,187,425,60,3872,832465,0.32,0.65,-0.175188756434197,0.0289014129233123,-0.0346669777614862,-0.0521302196775873,-0.102772165464978
"GR037","H","DM",NA,"GR037",30.64351,-104.16831,2154,360,215148,2,87.46,90,114,633,204,2917,1460060,0.33,0.45,-0.188065640802012,0.210743502859174,8.4766029682292e-05,-0.000191372002902507,-0.12115862419637
"LG002","T","DM",NA,"",30.68344,-104.14295,1892,30,92483.5,-4,89.99,-30,30,148486,0,209990,1124960,0.18,0.65,-0.164251322082773,-0.196562049498258,-0.0035121855317495,-0.0462820376692882,-0.0407477899374887
"LG003","H","DM",NA,"LG003",30.68349,-104.14254,1891,150,184865,-3,89.98,90,30,128532,120,209887,793556,0.21,0.65,-0.165156706751676,0.0285788549392144,-0.00918939750702356,-0.113190487552499,-0.170593194368429
"LG024","T","DM",NA,"",30.67629,-104.16224,2037,60,203001,-4,89.99,-84,114,250340,30,2957,2702430,0.45,0.6,-0.128119832594674,-0.551153224752497,0.129457515697341,0.0711031055977866,0.247537853896702
"LG025","H","DM",NA,"LG025",30.67762,-104.16333,2025,210,202881,1,88.53,120,84,1010,204,2982,2797010,0.33,0.5,-0.162411840655716,-0.0935431591313942,-0.109742450592816,-0.112486304909892,0.00578634320876751
"MD237","H","DM",NA,"MD237",30.66753,-104.15071,1891,240,-36966,4,77.03,150,0,191856,150,0,567,0.2,0,-0.173678352352379,-0.0293021524169726,-0.145078746733602,-0.206211671835763,-0.0262453535941025
"MD243","T","DM",NA,"",30.667647,-104.151104,1891,210,184693,-2,89.98,174,30,135741,204,221659,2520450,0.2,0.7,-0.172679915368279,0.0320249743086496,0.0237975303403306,-0.127782316195495,-0.118870981552163
"MD282","T","DM",NA,"",30.666545,-104.149587,1887,90,190887,0,89.19,-48,120,1839,72,227853,965179,0.3,0.65,-0.163587244166483,-0.0470524766941,0.123753848031776,-0.0575403215977283,-0.086985146303347
"MI006","T","DM",NA,"",30.70077,-104.11395,1791,60,175684,-3,89.96,0,0,78960,42,0,2706340,0.25,0.6,-0.173034450218594,-0.030261505930555,0.0260045465929106,-0.0859748715283244,-0.255394471374839
"MI007","H","DM",NA,"MI007",30.70048,-104.11389,1799,840,175208,-1,89.98,0,0,111425,574,0,2689720,0.22,0.6,-0.148964989841246,-0.203099456816363,-0.00381542688785558,-0.0415282819488264,-0.183038402848
"MI032","T","DM",NA,"",30.70531,-104.12057,1869,300,187305,2,88.29,0,0,867,344,0,2755590,0.3,0.75,-0.159194802015218,-0.140039929166546,-0.105004173597621,-0.103010896877078,-0.146482976358668
"MI034","T","DM",NA,"",30.69899,-104.11052,1834,150,183719,2,85.84,-307,427,360,120,231358,915916,0.29,0.55,-0.177192189877355,-0.0677759188886502,0.172309041120626,-0.0182509737388456,-0.254075750202439
"TC008","T","DM",NA,"",30.655422,-104.171362,1964,630,-25028,-1,89.98,0,0,172085,397,0,3042,0.18,0,-0.168727623816169,-0.0962384515617733,0.140323659886807,-0.410165399336763,0.244058362328642
