"year" "month" "day" "downscaled.tmax.degC"
1950 1 1 25.3
1950 1 2 22.89
1950 1 3 22
1950 1 4 18.12
1950 1 5 13.12
1950 1 6 10.31
1950 1 7 14.62
1950 1 8 18.03
1950 1 9 17.58
1950 1 10 16.74
1950 1 11 18.1
1950 1 12 19.47
1950 1 13 22.67
1950 1 14 23.05
1950 1 15 23.6
1950 1 16 22.57
1950 1 17 23.37
1950 1 18 16.62
1950 1 19 7.3
1950 1 20 10.49
1950 1 21 12.66
1950 1 22 19.68
1950 1 23 21.99
1950 1 24 18.56
1950 1 25 17.66
1950 1 26 19.09
1950 1 27 24.34
1950 1 28 19.21
1950 1 29 7.85
1950 1 30 3.79
1950 1 31 3.49
1950 2 1 4.17
1950 2 2 4.12
1950 2 3 8.81
1950 2 4 12.91
1950 2 5 15.46
1950 2 6 14.46
1950 2 7 16.49
1950 2 8 15.57
1950 2 9 16.45
1950 2 10 22.82
1950 2 11 18.19
1950 2 12 6.71
1950 2 13 10.48
1950 2 14 10.45
1950 2 15 20.95
1950 2 16 18.36
1950 2 17 21.53
1950 2 18 26.84
1950 2 19 25.38
1950 2 20 28.24
1950 2 21 26.79
1950 2 22 26.27
1950 2 23 26.86
1950 2 24 23.24
1950 2 25 16.64
1950 2 26 21.08
1950 2 27 22.13
1950 2 28 21.44
1950 3 1 14.81
1950 3 2 17.42
1950 3 3 21.47
1950 3 4 16.87
1950 3 5 12.56
1950 3 6 11.07
1950 3 7 19.18
1950 3 8 23.2
1950 3 9 18.64
1950 3 10 14.86
1950 3 11 11.51
1950 3 12 13.87
1950 3 13 13.62
1950 3 14 15.34
1950 3 15 18
1950 3 16 17.59
1950 3 17 20.84
1950 3 18 25.17
1950 3 19 27.79
1950 3 20 20.33
1950 3 21 21.01
1950 3 22 17.55
1950 3 23 19.26
1950 3 24 26.95
1950 3 25 27.61
1950 3 26 23.15
1950 3 27 22.49
1950 3 28 21.4
1950 3 29 26.25
1950 3 30 29.26
1950 3 31 25.66
1950 4 1 22.66
1950 4 2 21.23
1950 4 3 22.48
1950 4 4 26.79
1950 4 5 22.99
1950 4 6 13.76
1950 4 7 21.72
1950 4 8 25.17
1950 4 9 25.87
1950 4 10 28.39
1950 4 11 28.34
1950 4 12 26.49
1950 4 13 27.55
1950 4 14 26.14
1950 4 15 26.93
1950 4 16 29.5
1950 4 17 27.43
1950 4 18 27.29
1950 4 19 28.24
1950 4 20 23.72
1950 4 21 22.35
1950 4 22 27.43
1950 4 23 26.72
1950 4 24 30.1
1950 4 25 29.6
1950 4 26 29.5
1950 4 27 28.87
1950 4 28 25.69
1950 4 29 25.93
1950 4 30 26.87
1950 5 1 19.96
1950 5 2 25.64
1950 5 3 31.13
1950 5 4 32.4
1950 5 5 32.99
1950 5 6 32.79
1950 5 7 33.63
1950 5 8 34.01
1950 5 9 32.65
1950 5 10 33.07
1950 5 11 33.07
1950 5 12 32.67
1950 5 13 33.44
1950 5 14 34.93
1950 5 15 36.59
1950 5 16 35.01
1950 5 17 31.07
1950 5 18 32.33
1950 5 19 32.27
1950 5 20 27.42
1950 5 21 21.66
1950 5 22 27.2
1950 5 23 31.76
1950 5 24 31.07
1950 5 25 31.77
1950 5 26 33.86
1950 5 27 34.36
1950 5 28 34.53
1950 5 29 32.87
1950 5 30 33.17
1950 5 31 35.85
1950 6 1 35.29
1950 6 2 34.71
1950 6 3 34.15
1950 6 4 34.28
1950 6 5 29.55
1950 6 6 20.42
1950 6 7 18.28
1950 6 8 20.44
1950 6 9 24.69
1950 6 10 32.07
1950 6 11 34.11
1950 6 12 34.33
1950 6 13 36.05
1950 6 14 35.53
1950 6 15 35.07
1950 6 16 35.44
1950 6 17 35.9
1950 6 18 36.81
1950 6 19 36.45
1950 6 20 37.07
1950 6 21 37.28
1950 6 22 35.12
1950 6 23 32.06
1950 6 24 32.86
1950 6 25 34.58
1950 6 26 35.26
1950 6 27 36.57
1950 6 28 37.63
1950 6 29 38.73
1950 6 30 39.56
1950 7 1 37.83
1950 7 2 35.54
1950 7 3 33.22
1950 7 4 33.01
1950 7 5 33.19
1950 7 6 34.73
1950 7 7 36.58
1950 7 8 36.08
1950 7 9 35.2
1950 7 10 35.07
1950 7 11 36.28
1950 7 12 34.79
1950 7 13 34.53
1950 7 14 35.12
1950 7 15 36.71
1950 7 16 38.39
1950 7 17 39.81
1950 7 18 40.49
1950 7 19 40.24
1950 7 20 40.04
1950 7 21 40.14
1950 7 22 39.28
1950 7 23 37.06
1950 7 24 36
1950 7 25 36.07
1950 7 26 36.38
1950 7 27 35.62
1950 7 28 35.24
1950 7 29 36.8
1950 7 30 37.68
1950 7 31 37.5
1950 8 1 35.68
1950 8 2 32.29
1950 8 3 31.43
1950 8 4 32.62
1950 8 5 35.31
1950 8 6 37.64
1950 8 7 37.48
1950 8 8 37.38
1950 8 9 36.41
1950 8 10 33.94
1950 8 11 32.32
1950 8 12 33.05
1950 8 13 33.66
1950 8 14 33.46
1950 8 15 34.26
1950 8 16 31.2
1950 8 17 31.07
1950 8 18 32.16
1950 8 19 32.05
1950 8 20 29.98
1950 8 21 32.11
